threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.02,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.03,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.04,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.05,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.060000000000000005,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.06999999999999999,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.08,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.09,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.09999999999999999,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.11,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.12,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.13,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.14,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.15000000000000002,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.16,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.17,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.18000000000000002,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.19,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
0.2,0.8916684741298285,0.01303748266199943,0.8888888888888888,0.01444991789819376,0.028437550492809823,0.8944383975281767,65520,50861,6002,11,88
