threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.973509784370977,0.7954733409596603,0.8282828282828283,0.3215686274509804,0.4632768361581921,0.9966644429619747,10230,56690,173,17,82
0.02,0.973509784370977,0.7954733409596603,0.8181818181818182,0.5586206896551724,0.6639344262295082,0.9985604438046417,9640,56799,64,18,81
0.03,0.973509784370977,0.7954733409596603,0.8080808080808081,0.6349206349206349,0.7111111111111111,0.9988588883817282,9960,56817,46,19,80
0.04,0.973509784370977,0.7954733409596603,0.797979797979798,0.7181818181818181,0.7559808612440191,0.9991046662687406,10310,56832,31,20,79
0.05,0.973509784370977,0.7954733409596603,0.797979797979798,0.7669902912621359,0.7821782178217822,0.9992275552122467,10240,56839,24,20,79
0.060000000000000005,0.973509784370977,0.7954733409596603,0.797979797979798,0.7821782178217822,0.79,0.9992626663389628,10220,56841,22,20,79
0.06999999999999999,0.973509784370977,0.7954733409596603,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.9992626663389628,10710,56842,21,21,78
0.08,0.973509784370977,0.7954733409596603,0.7878787878787878,0.7959183673469388,0.7918781725888325,0.9992802219023208,10700,56843,20,21,78
0.09,0.973509784370977,0.7954733409596603,0.7878787878787878,0.8041237113402062,0.7959183673469388,0.9992977774656788,10690,56844,19,21,78
0.09999999999999999,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8105263157894737,0.7938144329896907,0.9992977774656788,11180,56845,18,22,77
0.11,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8105263157894737,0.7938144329896907,0.9992977774656788,11180,56845,18,22,77
0.12,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8105263157894737,0.7938144329896907,0.9992977774656788,11180,56845,18,22,77
0.13,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8105263157894737,0.7938144329896907,0.9992977774656788,11180,56845,18,22,77
0.14,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8105263157894737,0.7938144329896907,0.9992977774656788,11180,56845,18,22,77
0.15000000000000002,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8105263157894737,0.7938144329896907,0.9992977774656788,11180,56845,18,22,77
0.16,0.973509784370977,0.7954733409596603,0.7777777777777778,0.8191489361702128,0.7979274611398963,0.9993153330290369,11170,56846,17,22,77
0.17,0.973509784370977,0.7954733409596603,0.7575757575757576,0.8152173913043478,0.7853403141361257,0.9992802219023208,12170,56846,17,24,75
0.18000000000000002,0.973509784370977,0.7954733409596603,0.7575757575757576,0.8152173913043478,0.7853403141361257,0.9992802219023208,12170,56846,17,24,75
0.19,0.973509784370977,0.7954733409596603,0.7474747474747475,0.8222222222222222,0.783068783068783,0.9992802219023208,12660,56847,16,25,74
0.2,0.973509784370977,0.7954733409596603,0.7373737373737373,0.8295454545454546,0.7807486631016043,0.9992802219023208,13150,56848,15,26,73
0.21000000000000002,0.973509784370977,0.7954733409596603,0.7373737373737373,0.8390804597701149,0.7849462365591398,0.9992977774656788,13140,56849,14,26,73
0.22,0.973509784370977,0.7954733409596603,0.7373737373737373,0.8390804597701149,0.7849462365591398,0.9992977774656788,13140,56849,14,26,73
0.23,0.973509784370977,0.7954733409596603,0.7373737373737373,0.8690476190476191,0.7978142076502732,0.9993504441557529,13110,56852,11,26,73
0.24000000000000002,0.973509784370977,0.7954733409596603,0.7272727272727273,0.8674698795180723,0.7912087912087912,0.9993328885923949,13610,56852,11,27,72
0.25,0.973509784370977,0.7954733409596603,0.7272727272727273,0.8780487804878049,0.7955801104972375,0.9993504441557529,13600,56853,10,27,72
0.26,0.973509784370977,0.7954733409596603,0.7272727272727273,0.8780487804878049,0.7955801104972375,0.9993504441557529,13600,56853,10,27,72
0.27,0.973509784370977,0.7954733409596603,0.7272727272727273,0.8888888888888888,0.8,0.9993679997191109,13590,56854,9,27,72
0.28,0.973509784370977,0.7954733409596603,0.7272727272727273,0.8888888888888888,0.8,0.9993679997191109,13590,56854,9,27,72
0.29000000000000004,0.973509784370977,0.7954733409596603,0.7171717171717171,0.8875,0.7932960893854749,0.9993504441557529,14090,56854,9,28,71
0.3,0.973509784370977,0.7954733409596603,0.7171717171717171,0.8875,0.7932960893854749,0.9993504441557529,14090,56854,9,28,71
0.31,0.973509784370977,0.7954733409596603,0.7171717171717171,0.8987341772151899,0.797752808988764,0.9993679997191109,14080,56855,8,28,71
