threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9697811699464796,0.7920127687149912,1.0,0.0017380007724447878,0.0034699707330751303,0.0017380007724447878,568630,0,56863,0,99
0.02,0.9697811699464796,0.7920127687149912,1.0,0.001738031284563122,0.003470031545741325,0.0017555563358028158,568620,1,56862,0,99
0.03,0.9697811699464796,0.7920127687149912,1.0,0.0017381838612262096,0.0034703356410481115,0.0018433341525929568,568570,6,56857,0,99
0.04,0.9697811699464796,0.7920127687149912,1.0,0.0017398945518453427,0.003473745153423744,0.0028264457006425335,568010,62,56801,0,99
0.05,0.9697811699464796,0.7920127687149912,1.0,0.0017684255653602943,0.003530607514131346,0.018942452863312385,558830,980,55883,0,99
0.060000000000000005,0.9697811699464796,0.7920127687149912,0.98989898989899,0.0019297796506705,0.003852049840808144,0.11017871563498473,507350,6178,50685,1,98
0.06999999999999999,0.9697811699464796,0.7920127687149912,0.98989898989899,0.0023544674819210533,0.004697761372896793,0.27098767599452267,415750,15338,41525,1,98
0.08,0.9697811699464796,0.7920127687149912,0.98989898989899,0.003144250513347023,0.006268589887101417,0.45453109090270705,311200,25793,31070,1,98
0.09,0.9697811699464796,0.7920127687149912,0.98989898989899,0.004375,0.008711498288812836,0.608458270425898,223520,34561,22302,1,98
0.09999999999999999,0.9697811699464796,0.7920127687149912,0.9696969696969697,0.00610259996185875,0.012128869235628554,0.7254661002071556,157850,41228,15635,3,96
0.11,0.9697811699464796,0.7920127687149912,0.9393939393939394,0.008194554586307164,0.016247379454926623,0.8022892454618868,115560,45607,11256,6,93
0.12,0.9697811699464796,0.7920127687149912,0.9292929292929293,0.010733870026834675,0.02122260668973472,0.851023489343773,88290,48384,8479,7,92
0.13,0.9697811699464796,0.7920127687149912,0.9191919191919192,0.013844515441959531,0.027278177458033574,0.8860643938063972,68820,50381,6482,8,91
0.14,0.9697811699464796,0.7920127687149912,0.9191919191919192,0.017652764306498547,0.034640274076893796,0.9109581826480811,54640,51799,5064,8,91
0.15000000000000002,0.9697811699464796,0.7920127687149912,0.9090909090909091,0.022058823529411766,0.043072505384063174,0.9297953021312454,44400,52873,3990,9,90
0.16,0.9697811699464796,0.7920127687149912,0.8686868686868687,0.02719797596457938,0.052744556884391294,0.945770864787051,37260,53787,3076,13,86
0.17,0.9697811699464796,0.7920127687149912,0.8686868686868687,0.033925049309664695,0.06529992406985573,0.9567782030125347,30990,54414,2449,13,86
0.18000000000000002,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.04065040650406504,0.0776255707762557,0.9645377620167831,27060,54857,2006,14,85
0.19,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.04799548277809147,0.09090909090909091,0.9701555422913521,23860,55177,1686,14,85
0.2,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.054945054945054944,0.10328068043742406,0.9740879884835504,21620,55401,1462,14,85
0.21000000000000002,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.0619533527696793,0.11556764106050306,0.9771602120712054,19870,55576,1287,14,85
0.22,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.06995884773662552,0.1293759512937595,0.9799164355184158,18300,55733,1130,14,85
0.23,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.07783882783882784,0.14273719563392107,0.9820757698114533,17070,55856,1007,14,85
0.24000000000000002,0.9697811699464796,0.7920127687149912,0.8585858585858586,0.08844953173777315,0.16037735849056603,0.9843755486113549,15760,55987,876,14,85
0.25,0.9697811699464796,0.7920127687149912,0.8484848484848485,0.10023866348448687,0.17929562433297758,0.9864997717776763,15040,56109,754,15,84
0.26,0.9697811699464796,0.7920127687149912,0.8484848484848485,0.11366711772665765,0.20047732696897375,0.9882377725501211,14050,56208,655,15,84
0.27,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.12518853695324283,0.2178477690288714,0.9895368842386152,13800,56283,580,16,83
0.28,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.1451048951048951,0.2473919523099851,0.9911344405041957,12890,56374,489,16,83
0.29000000000000004,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.16533864541832669,0.2762063227953411,0.9923633299392578,12190,56444,419,16,83
0.3,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.1824175824175824,0.2996389891696751,0.9931884414170851,11720,56491,372,16,83
0.31,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.20595533498759305,0.33067729083665337,0.9941013307117026,11200,56543,320,16,83
0.32,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.22802197802197802,0.35853131749460043,0.9947859976826656,10810,56582,281,16,83
0.33,0.9697811699464796,0.7920127687149912,0.8383838383838383,0.25227963525835867,0.3878504672897196,0.9954004424001967,10460,56617,246,16,83
0.34,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.2764505119453925,0.413265306122449,0.9959622204276535,11120,56651,212,18,81
0.35000000000000003,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.30111524163568776,0.44021739130434784,0.9963835539482462,10880,56675,188,18,81
0.36000000000000004,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.32926829268292684,0.46956521739130436,0.9967873319054809,10650,56698,165,18,81
0.37,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.3521739130434783,0.49240121580547114,0.9970682209192093,10490,56714,149,18,81
0.38,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.391304347826087,0.5294117647058824,0.997471998876444,10260,56737,126,18,81
0.39,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.42857142857142855,0.5625,0.9977879990168884,10080,56755,108,18,81
0.4,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.4879518072289157,0.6113207547169811,0.9981917769741231,9850,56778,85,18,81
0.41000000000000003,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.5510204081632653,0.6585365853658537,0.9985253326779256,9660,56797,66,18,81
0.42000000000000004,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.5827338129496403,0.680672268907563,0.9986657771847899,9580,56805,58,18,81
0.43,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.627906976744186,0.7105263157894737,0.9988413328183702,9480,56815,48,18,81
0.44,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.6639344262295082,0.7330316742081447,0.9989642217618764,9410,56822,41,18,81
0.45,0.9697811699464796,0.7920127687149912,0.8181818181818182,0.7105263157894737,0.7605633802816901,0.9991046662687406,9330,56830,33,18,81
0.46,0.9697811699464796,0.7920127687149912,0.8080808080808081,0.7207207207207207,0.7619047619047619,0.9991222218320986,9810,56832,31,19,80
0.47000000000000003,0.9697811699464796,0.7920127687149912,0.8080808080808081,0.7407407407407407,0.7729468599033816,0.9991748885221726,9780,56835,28,19,80
0.48000000000000004,0.9697811699464796,0.7920127687149912,0.797979797979798,0.7669902912621359,0.7821782178217822,0.9992275552122467,10240,56839,24,20,79
0.49,0.9697811699464796,0.7920127687149912,0.7878787878787878,0.7959183673469388,0.7918781725888325,0.9992802219023208,10700,56843,20,21,78
0.5,0.9697811699464796,0.7920127687149912,0.7878787878787878,0.8210526315789474,0.8041237113402062,0.9993328885923949,10670,56846,17,21,78
0.51,0.9697811699464796,0.7920127687149912,0.7878787878787878,0.8666666666666667,0.8253968253968254,0.999420666409185,10620,56851,12,21,78
0.52,0.9697811699464796,0.7920127687149912,0.7777777777777778,0.8651685393258427,0.8191489361702128,0.999403110845827,11120,56851,12,22,77
0.53,0.9697811699464796,0.7920127687149912,0.7676767676767676,0.8735632183908046,0.8172043010752689,0.999403110845827,11610,56852,11,23,76
0.54,0.9697811699464796,0.7920127687149912,0.7676767676767676,0.8735632183908046,0.8172043010752689,0.999403110845827,11610,56852,11,23,76
0.55,0.9697811699464796,0.7920127687149912,0.7676767676767676,0.8837209302325582,0.8216216216216217,0.999420666409185,11600,56853,10,23,76
0.56,0.9697811699464796,0.7920127687149912,0.7676767676767676,0.8837209302325582,0.8216216216216217,0.999420666409185,11600,56853,10,23,76
0.5700000000000001,0.9697811699464796,0.7920127687149912,0.7575757575757576,0.8823529411764706,0.8152173913043478,0.999403110845827,12100,56853,10,24,75
0.5800000000000001,0.9697811699464796,0.7920127687149912,0.7575757575757576,0.8823529411764706,0.8152173913043478,0.999403110845827,12100,56853,10,24,75
0.59,0.9697811699464796,0.7920127687149912,0.7575757575757576,0.8823529411764706,0.8152173913043478,0.999403110845827,12100,56853,10,24,75
0.6,0.9697811699464796,0.7920127687149912,0.7575757575757576,0.9036144578313253,0.8241758241758241,0.9994382219725431,12080,56855,8,24,75
0.61,0.9697811699464796,0.7920127687149912,0.7474747474747475,0.9024390243902439,0.8176795580110497,0.999420666409185,12580,56855,8,25,74
0.62,0.9697811699464796,0.7920127687149912,0.7474747474747475,0.9024390243902439,0.8176795580110497,0.999420666409185,12580,56855,8,25,74
0.63,0.9697811699464796,0.7920127687149912,0.7373737373737373,0.9012345679012346,0.8111111111111111,0.999403110845827,13080,56855,8,26,73
0.64,0.9697811699464796,0.7920127687149912,0.7373737373737373,0.9240506329113924,0.8202247191011236,0.9994382219725431,13060,56857,6,26,73
0.65,0.9697811699464796,0.7920127687149912,0.7171717171717171,0.922077922077922,0.8068181818181818,0.999403110845827,14060,56857,6,28,71
0.66,0.9697811699464796,0.7920127687149912,0.7171717171717171,0.9342105263157895,0.8114285714285714,0.999420666409185,14050,56858,5,28,71
0.67,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.68,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.6900000000000001,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.7000000000000001,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.7100000000000001,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.72,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.73,0.9697811699464796,0.7920127687149912,0.7070707070707071,0.9333333333333333,0.8045977011494253,0.999403110845827,14550,56858,5,29,70
0.74,0.9697811699464796,0.7920127687149912,0.696969696969697,0.9452054794520548,0.8023255813953488,0.999403110845827,15040,56859,4,30,69
0.75,0.9697811699464796,0.7920127687149912,0.6767676767676768,0.9436619718309859,0.788235294117647,0.9993679997191109,16040,56859,4,32,67
0.76,0.9697811699464796,0.7920127687149912,0.6363636363636364,0.9402985074626866,0.7590361445783133,0.9992977774656788,18040,56859,4,36,63
0.77,0.9697811699464796,0.7920127687149912,0.6363636363636364,0.9402985074626866,0.7590361445783133,0.9992977774656788,18040,56859,4,36,63
0.78,0.9697811699464796,0.7920127687149912,0.6363636363636364,0.9402985074626866,0.7590361445783133,0.9992977774656788,18040,56859,4,36,63
0.79,0.9697811699464796,0.7920127687149912,0.6363636363636364,0.9402985074626866,0.7590361445783133,0.9992977774656788,18040,56859,4,36,63
0.8,0.9697811699464796,0.7920127687149912,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.9993153330290369,18030,56860,3,36,63
0.81,0.9697811699464796,0.7920127687149912,0.6262626262626263,0.9538461538461539,0.7560975609756098,0.9992977774656788,18530,56860,3,37,62
0.8200000000000001,0.9697811699464796,0.7920127687149912,0.6161616161616161,0.953125,0.7484662576687117,0.9992802219023208,19030,56860,3,38,61
