threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9629106782791956,0.7886510672098497,1.0,0.0017380007724447878,0.0034699707330751303,0.0017380007724447878,568630,0,56863,0,99
0.02,0.9629106782791956,0.7886510672098497,1.0,0.001738031284563122,0.003470031545741325,0.0017555563358028158,568620,1,56862,0,99
0.03,0.9629106782791956,0.7886510672098497,1.0,0.0017382754200832265,0.0034705181238168688,0.001896000842667041,568540,9,56854,0,99
0.04,0.9629106782791956,0.7886510672098497,1.0,0.0017391915394480264,0.003472344007576023,0.002422667743407886,568240,39,56824,0,99
0.05,0.9629106782791956,0.7886510672098497,1.0,0.0017550390895069935,0.0035039286472711827,0.01144622730943436,563100,553,56310,0,99
0.060000000000000005,0.9629106782791956,0.7886510672098497,1.0,0.0018601679788053588,0.003713428357089272,0.06741336329482812,531220,3741,53122,0,99
0.06999999999999999,0.9629106782791956,0.7886510672098497,0.98989898989899,0.0021032750997982573,0.004197631336602917,0.1837189705417647,465460,10367,46496,1,98
0.08,0.9629106782791956,0.7886510672098497,0.9797979797979798,0.0025328354701412642,0.005052609646838212,0.32934236859660826,383000,18663,38200,2,97
0.09,0.9629106782791956,0.7886510672098497,0.9797979797979798,0.003133581004684219,0.006247182327558447,0.458235314771251,309580,26005,30858,2,97
0.09999999999999999,0.9629106782791956,0.7886510672098497,0.9797979797979798,0.00388,0.00772939160922746,0.5627786945683086,250030,31960,24903,2,97
0.11,0.9629106782791956,0.7886510672098497,0.9696969696969697,0.00483043171983496,0.00961297751965153,0.652733401214845,199280,37085,19778,3,96
0.12,0.9629106782791956,0.7886510672098497,0.9595959595959596,0.006150459665932927,0.012222579607590866,0.7304343246374776,155510,41512,15351,4,95
0.13,0.9629106782791956,0.7886510672098497,0.9393939393939394,0.00788135593220339,0.015631565677788048,0.7943716863874162,120070,45156,11707,6,93
0.14,0.9629106782791956,0.7886510672098497,0.9191919191919192,0.009904222899434044,0.019597286529557445,0.8401565956251537,94970,47766,9097,8,91
0.15000000000000002,0.9629106782791956,0.7886510672098497,0.9191919191919192,0.012565589616128142,0.024792262634518458,0.8743197219198764,75510,49712,7151,8,91
0.16,0.9629106782791956,0.7886510672098497,0.9090909090909091,0.015581717451523546,0.030638297872340424,0.9000210666760297,61360,51177,5686,9,90
0.17,0.9629106782791956,0.7886510672098497,0.8888888888888888,0.018912529550827423,0.037037037037037035,0.9196657420736631,51150,52298,4565,11,88
0.18000000000000002,0.9629106782791956,0.7886510672098497,0.8787878787878788,0.023034154090548053,0.04489164086687306,0.9350093044485798,42900,53173,3690,12,87
0.19,0.9629106782791956,0.7886510672098497,0.8686868686868687,0.027750887383026782,0.05378361475922452,0.9468768652786068,36630,53850,3013,13,86
0.2,0.9629106782791956,0.7886510672098497,0.8686868686868687,0.03282442748091603,0.0632585509378448,0.9552859801271023,31840,54329,2534,13,86
0.21000000000000002,0.9629106782791956,0.7886510672098497,0.8686868686868687,0.03856502242152467,0.0738514383855732,0.9621326498367333,27940,54719,2144,13,86
0.22,0.9629106782791956,0.7886510672098497,0.8686868686868687,0.04339051463168517,0.0826525708793849,0.9664864295495242,25460,54967,1896,13,86
0.23,0.9629106782791956,0.7886510672098497,0.8585858585858586,0.048377916903813316,0.09159482758620689,0.9704013201783646,23720,55191,1672,14,85
0.24000000000000002,0.9629106782791956,0.7886510672098497,0.8585858585858586,0.05319148936170213,0.10017678255745432,0.973192654752291,22130,55350,1513,14,85
0.25,0.9629106782791956,0.7886510672098497,0.8585858585858586,0.05794137695978187,0.10855683269476372,0.9754924335521927,20820,55481,1382,14,85
0.26,0.9629106782791956,0.7886510672098497,0.8585858585858586,0.06300963676797627,0.11740331491712708,0.97756399002844,19640,55599,1264,14,85
