threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9736115707485491,0.66649662587453,1.0,0.0017380007724447878,0.0034699707330751303,0.0017380007724447878,568630,0,56863,0,99
0.02,0.9736115707485491,0.66649662587453,1.0,0.0017384585667374927,0.003470883146934053,0.0020013342228152103,568480,15,56848,0,99
0.03,0.9736115707485491,0.66649662587453,1.0,0.0017903969617506104,0.0035743943387370474,0.03100312489027773,551960,1667,55196,0,99
0.04,0.9736115707485491,0.66649662587453,0.98989898989899,0.001896908812883495,0.0037865615702639003,0.09472981987991995,516150,5298,51565,1,98
0.05,0.9736115707485491,0.66649662587453,0.98989898989899,0.002094688468526237,0.004180530671444416,0.18036585794038132,467370,10176,46687,1,98
0.060000000000000005,0.9736115707485491,0.66649662587453,0.98989898989899,0.0023763336566440347,0.004741285468927647,0.27771145676064746,411920,15721,41142,1,98
0.06999999999999999,0.9736115707485491,0.66649662587453,0.98989898989899,0.0026950471633253583,0.005375459382370687,0.36332993925775076,363150,20598,36265,1,98
0.08,0.9736115707485491,0.66649662587453,0.98989898989899,0.0030745098039215686,0.006129980609245011,0.44211930760858115,318270,25086,31777,1,98
0.09,0.9736115707485491,0.66649662587453,0.98989898989899,0.0034945086292968194,0.006964431652631205,0.509374670833187,279960,28917,27946,1,98
0.09999999999999999,0.9736115707485491,0.66649662587453,0.9797979797979798,0.003931901094446697,0.0078323711090476,0.568572030476458,246730,32290,24573,2,97
0.11,0.9736115707485491,0.66649662587453,0.9797979797979798,0.004435705139930492,0.008831428961624255,0.6177627190056529,218710,35092,21771,2,97
0.12,0.9736115707485491,0.66649662587453,0.9797979797979798,0.0049981965270263305,0.009945657746334461,0.6609669604297602,194100,37553,19310,2,97
0.13,0.9736115707485491,0.66649662587453,0.9797979797979798,0.005571830662301109,0.011080648846241718,0.6960429760191005,174120,39551,17312,2,97
0.14,0.9736115707485491,0.66649662587453,0.9696969696969697,0.006165307302035836,0.01225271218889598,0.7282749903444401,156250,41388,15475,3,96
0.15000000000000002,0.9736115707485491,0.66649662587453,0.9696969696969697,0.006875805758487323,0.013654789844250054,0.7565218917875075,140160,42997,13866,3,96
0.16,0.9736115707485491,0.66649662587453,0.9696969696969697,0.0077363204126037555,0.015350175887432043,0.7837856816825252,124630,44550,12313,3,96
0.17,0.9736115707485491,0.66649662587453,0.9696969696969697,0.008690142120032588,0.01722591064058855,0.8076963589761595,111010,45912,10951,3,96
0.18000000000000002,0.9736115707485491,0.66649662587453,0.9595959595959596,0.009616357930964672,0.01904189216275807,0.8281661458516204,99840,47079,9784,4,95
0.19,0.9736115707485491,0.66649662587453,0.9595959595959596,0.010762433442845814,0.0212861304055568,0.846634598504266,89320,48131,8732,4,95
0.2,0.9736115707485491,0.66649662587453,0.9494949494949495,0.011807561864087426,0.023325062034739455,0.8618026052456024,81170,48996,7867,5,94
0.21000000000000002,0.9736115707485491,0.66649662587453,0.9393939393939394,0.01297071129707113,0.025588113908378042,0.8756539447350865,73770,49786,7077,6,93
0.22,0.9736115707485491,0.66649662587453,0.9393939393939394,0.014142335766423358,0.027865168539325844,0.8860819493697553,67830,50380,6483,6,93
0.23,0.9736115707485491,0.66649662587453,0.9292929292929293,0.015389762462361994,0.030278097745598156,0.8965450651311401,62360,50977,5886,7,92
0.24000000000000002,0.9736115707485491,0.66649662587453,0.9292929292929293,0.01673031460265503,0.032868881743479815,0.9049541799796356,57570,51456,5407,7,92
0.25,0.9736115707485491,0.66649662587453,0.9292929292929293,0.018330344690177327,0.0359515435717077,0.9133808503914891,52770,51936,4927,7,92
0.26,0.9736115707485491,0.66649662587453,0.9292929292929293,0.02006980802792321,0.03929105274396754,0.9210175204522313,48420,52371,4492,7,92
0.27,0.9736115707485491,0.66649662587453,0.9090909090909091,0.02120640904806786,0.04144600506562284,0.9269161897405288,46040,52709,4154,9,90
0.28,0.9736115707485491,0.66649662587453,0.9090909090909091,0.023000255558395095,0.0448654037886341,0.9327270812120361,42730,53040,3823,9,90
0.29000000000000004,0.9736115707485491,0.66649662587453,0.9090909090909091,0.0247320692497939,0.048154093097913325,0.9375373055721358,39990,53314,3549,9,90
0.3,0.9736115707485491,0.66649662587453,0.898989898989899,0.026300236406619385,0.0511053689348263,0.941978863101717,37950,53568,3295,10,89
0.31,0.9736115707485491,0.66649662587453,0.898989898989899,0.02835297865562281,0.05497220506485485,0.9462799761244338,35500,53813,3050,10,89
0.32,0.9736115707485491,0.66649662587453,0.898989898989899,0.030710835058661144,0.05939272605939273,0.9505108668937187,33090,54054,2809,10,89
0.33,0.9736115707485491,0.66649662587453,0.898989898989899,0.03280501290084777,0.06330014224751067,0.9537586461149539,31240,54239,2624,10,89
