threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9747276681486976,0.6807113141715643,0.98989898989899,0.002738807221508021,0.0054625010451213735,0.3735297215687651,357340,21179,35684,1,98
0.02,0.9747276681486976,0.6807113141715643,0.98989898989899,0.0036576717799425224,0.007288412910902871,0.5313366805940802,267450,30168,26695,1,98
0.03,0.9747276681486976,0.6807113141715643,0.98989898989899,0.0045330496322679124,0.009024772078460263,0.622169165408518,215710,35342,21521,1,98
0.04,0.9747276681486976,0.6807113141715643,0.98989898989899,0.005382840821707129,0.010707456978967494,0.682086303149468,181580,38755,18108,1,98
0.05,0.9747276681486976,0.6807113141715643,0.98989898989899,0.006257582529851223,0.012436548223350254,0.7267652118956497,156130,41300,15563,1,98
0.060000000000000005,0.9747276681486976,0.6807113141715643,0.9696969696969697,0.006986391092351357,0.013872832369942197,0.7604016712896317,137950,43218,13645,3,96
0.06999999999999999,0.9747276681486976,0.6807113141715643,0.9393939393939394,0.007612966601178782,0.01510353227771011,0.7870685720304764,124230,44740,12123,6,93
0.08,0.9747276681486976,0.6807113141715643,0.9393939393939394,0.008404120730164468,0.01665920286609942,0.8072574698922088,112730,45890,10973,6,93
0.09,0.9747276681486976,0.6807113141715643,0.9393939393939394,0.009246371047922052,0.01831249384660825,0.8249534777571013,102650,46898,9965,6,93
0.09999999999999999,0.9747276681486976,0.6807113141715643,0.9393939393939394,0.010092240911557243,0.01996993772815117,0.839752817667919,94220,47741,9122,6,93
0.11,0.9747276681486976,0.6807113141715643,0.9393939393939394,0.010932173504173035,0.021612828259353938,0.8521821565254029,87140,48449,8414,6,93
0.12,0.9747276681486976,0.6807113141715643,0.9191919191919192,0.01154382849169098,0.02280130293159609,0.8630666058073804,81920,49071,7792,8,91
0.13,0.9747276681486976,0.6807113141715643,0.9191919191919192,0.012493135639758374,0.024651225788974673,0.8735823882588393,75930,49670,7193,8,91
0.14,0.9747276681486976,0.6807113141715643,0.9191919191919192,0.013362701908957416,0.02634245187436677,0.8819037252905446,71190,50144,6719,8,91
0.15000000000000002,0.9747276681486976,0.6807113141715643,0.9090909090909091,0.014139827179890024,0.027846534653465347,0.889680839858151,67250,50588,6275,9,90
0.16,0.9747276681486976,0.6807113141715643,0.9090909090909091,0.015187310158623017,0.02987551867219917,0.8973877321723254,62860,51027,5836,9,90
