threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9718105025422614,0.6750160720085014,0.98989898989899,0.003166704365528161,0.006313212652193519,0.4584108704048313,308990,26014,30849,1,98
0.02,0.9718105025422614,0.6750160720085014,0.98989898989899,0.00425291845679816,0.008469449485783424,0.5971700431866859,229950,33918,22945,1,98
0.03,0.9718105025422614,0.6750160720085014,0.98989898989899,0.005200594353640416,0.010346829963574935,0.6708858537270461,187960,38117,18746,1,98
0.04,0.9718105025422614,0.6750160720085014,0.9696969696969697,0.00600375234521576,0.01193361924296103,0.7209192092974264,160440,40969,15894,3,96
0.05,0.9718105025422614,0.6750160720085014,0.9696969696969697,0.006907965748003166,0.01371820520148614,0.7576630034057793,139510,43062,13801,3,96
0.060000000000000005,0.9718105025422614,0.6750160720085014,0.9595959595959596,0.007721693895797773,0.015320109659732302,0.7856114602717601,124080,44655,12208,4,95
0.06999999999999999,0.9718105025422614,0.6750160720085014,0.9292929292929293,0.008283064733951562,0.016419775120471176,0.8065025806678137,113650,45848,11015,7,92
0.08,0.9718105025422614,0.6750160720085014,0.9292929292929293,0.009145129224652087,0.018112018899497984,0.8248832555036691,103180,46895,9968,7,92
0.09,0.9718105025422614,0.6750160720085014,0.9292929292929293,0.01000979218801001,0.019806243272335846,0.8401390400617956,94490,47764,9099,7,92
0.09999999999999999,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.010628247520075578,0.02101085560873118,0.8527614901162178,88280,48485,8378,9,90
0.11,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.011556240369799691,0.022822365918600228,0.864699273199677,81480,49165,7698,9,90
0.12,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.012458471760797342,0.024580090126997134,0.8746006109336049,75840,49729,7134,9,90
0.13,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.013333333333333334,0.026281208935611037,0.8829219479653102,71100,50203,6660,9,90
0.14,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.014356356675705855,0.028266331658291458,0.8913661739405218,66290,50684,6179,9,90
0.15000000000000002,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.015379357484620642,0.030247017308015458,0.8986868438608195,62120,51101,5762,9,90
0.16,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.016498625114573784,0.03240907454087144,0.9056564025139566,58150,51498,5365,9,90
0.17,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.017554125219426564,0.03444316877152698,0.9114146272953899,54870,51826,5037,9,90
0.18000000000000002,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.01856052794390596,0.03637833468067906,0.9162950739089217,52090,52104,4759,9,90
0.19,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.01963350785340314,0.03843689942344651,0.9209472981987992,49440,52369,4494,9,90
0.2,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.020689655172413793,0.04045853000674309,0.9250553000245778,47100,52603,4260,9,90
0.21000000000000002,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.02180760843227526,0.04259346900141978,0.928970190653418,44870,52826,4037,9,90
0.22,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.02286004572009144,0.044598612487611496,0.9323057476914434,42970,53016,3847,9,90
0.23,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.023923444976076555,0.046620046620046623,0.9353779712790984,41220,53191,3672,9,90
0.24000000000000002,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.025020850708924104,0.048701298701298704,0.938274639233173,39570,53356,3507,9,90
0.25,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.02617801047120419,0.05089058524173028,0.9410659738070994,37980,53515,3348,9,90
0.26,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.027314112291350532,0.05303476723629935,0.9435764193672975,36550,53658,3205,9,90
0.27,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.02847200253084467,0.05521472392638037,0.9459288648572732,35210,53792,3071,9,90
0.28,0.9718105025422614,0.6750160720085014,0.9090909090909091,0.02954694681549573,0.057233704292527825,0.9479477546434465,34060,53907,2956,9,90
0.29000000000000004,0.9718105025422614,0.6750160720085014,0.898989898989899,0.030416951469583047,0.05884297520661157,0.9500193111196938,33370,54026,2837,10,89
0.3,0.9718105025422614,0.6750160720085014,0.898989898989899,0.031672597864768684,0.061189412169130285,0.9520557564692251,32210,54142,2721,10,89
0.31,0.9718105025422614,0.6750160720085014,0.898989898989899,0.03290203327171904,0.06348074179743224,0.9538990906218181,31160,54247,2616,10,89
0.32,0.9718105025422614,0.6750160720085014,0.898989898989899,0.033982436044291714,0.06548933038999265,0.9554088690706085,30300,54333,2530,10,89
0.33,0.9718105025422614,0.6750160720085014,0.898989898989899,0.03517786561264822,0.06770635222518068,0.956971314209473,29410,54422,2441,10,89
0.34,0.9718105025422614,0.6750160720085014,0.898989898989899,0.036595394736842105,0.07032793362307388,0.9586917594185598,28430,54520,2343,10,89
0.35000000000000003,0.9718105025422614,0.6750160720085014,0.898989898989899,0.03793691389599318,0.07280163599182005,0.9602015378673502,27570,54606,2257,10,89
0.36000000000000004,0.9718105025422614,0.6750160720085014,0.898989898989899,0.03913808267370272,0.07501053518752634,0.9614655384291282,26850,54678,2185,10,89
