threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9676203854843745,0.7123406372523635,0.9696969696969697,0.004911239576405587,0.00977298177746106,0.6584740704329202,196010,37412,19451,3,96
0.02,0.9676203854843745,0.7123406372523635,0.9595959595959596,0.0073689109525287,0.01462550996843969,0.7752712334538815,129970,44066,12797,4,95
0.03,0.9676203854843745,0.7123406372523635,0.9595959595959596,0.009643690995837987,0.019095477386934675,0.8286577016256451,99560,47107,9756,4,95
0.04,0.9676203854843745,0.7123406372523635,0.9494949494949495,0.01179718875502008,0.023304822114788647,0.8616797163020962,81240,48989,7874,5,94
0.05,0.9676203854843745,0.7123406372523635,0.9292929292929293,0.013903581683542391,0.0273972602739726,0.8853270601453601,68750,50338,6525,7,92
0.060000000000000005,0.9676203854843745,0.7123406372523635,0.9191919191919192,0.01616915422885572,0.03177929107735289,0.9026544011797338,59370,51326,5537,8,91
0.06999999999999999,0.9676203854843745,0.7123406372523635,0.9090909090909091,0.01840867253016977,0.03608660785886127,0.9155928513746006,52490,52064,4799,9,90
0.08,0.9676203854843745,0.7123406372523635,0.898989898989899,0.020688052068805207,0.04044535332878891,0.925862855939047,47130,52650,4213,10,89
0.09,0.9676203854843745,0.7123406372523635,0.898989898989899,0.023086900129701687,0.04501770359129995,0.9337101927600857,42660,53097,3766,10,89
0.09999999999999999,0.9676203854843745,0.7123406372523635,0.898989898989899,0.025752314814814815,0.05007032348804501,0.9407148625399389,38670,53496,3367,10,89
0.11,0.9676203854843745,0.7123406372523635,0.898989898989899,0.028102305020524156,0.054500918554807105,0.945788420350409,35780,53785,3078,10,89
0.12,0.9676203854843745,0.7123406372523635,0.8888888888888888,0.030095759233926128,0.058220310949388024,0.9500193111196938,33860,54027,2836,11,88
0.13,0.9676203854843745,0.7123406372523635,0.8888888888888888,0.03258052573121066,0.06285714285714286,0.9539342017485342,31630,54250,2613,11,88
0.14,0.9676203854843745,0.7123406372523635,0.8888888888888888,0.0351578106272473,0.06764027671022291,0.9574102032934236,29650,54448,2415,11,88
0.15000000000000002,0.9676203854843745,0.7123406372523635,0.8888888888888888,0.037996545768566495,0.07287784679089027,0.960693093641375,27780,54635,2228,11,88
0.16,0.9676203854843745,0.7123406372523635,0.8888888888888888,0.040740740740740744,0.07791057990261177,0.9634317615252274,26220,54791,2072,11,88
0.17,0.9676203854843745,0.7123406372523635,0.8787878787878788,0.04324055666003976,0.08242539081004263,0.9659948737754994,25250,54938,1925,12,87
0.18000000000000002,0.9676203854843745,0.7123406372523635,0.8787878787878788,0.04612937433722163,0.08765743073047859,0.968206874758611,23990,55064,1799,12,87
0.19,0.9676203854843745,0.7123406372523635,0.8787878787878788,0.048986486486486486,0.0928,0.9701379867279941,22890,55174,1689,12,87
0.2,0.9676203854843745,0.7123406372523635,0.8787878787878788,0.05247285886610374,0.09903244166192374,0.9722095432042415,21710,55292,1571,12,87
0.21000000000000002,0.9676203854843745,0.7123406372523635,0.8787878787878788,0.055133079847908745,0.1037567084078712,0.9736139882728837,20910,55372,1491,12,87
0.22,0.9676203854843745,0.7123406372523635,0.8484848484848485,0.056,0.1050656660412758,0.9748779888346617,21660,55447,1416,15,84
0.23,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.05812324929971989,0.10870988867059594,0.9761068782697236,21450,55518,1345,16,83
0.24000000000000002,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.06102941176470588,0.113776559287183,0.9773006565780696,20770,55586,1277,16,83
0.25,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.06394453004622497,0.11882605583392986,0.9783891015062673,20150,55648,1215,16,83
0.26,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.06758957654723127,0.12509419743782968,0.9796179909413293,19450,55718,1145,16,83
0.27,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.07087959009393681,0.13070866141732285,0.980618658052737,18880,55775,1088,16,83
0.28,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.07484220018034266,0.13741721854304637,0.9817071029809347,18260,55837,1026,16,83
0.29000000000000004,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.07859848484848485,0.14372294372294372,0.9826375478389101,17730,55890,973,16,83
0.3,0.9676203854843745,0.7123406372523635,0.8383838383838383,0.08201581027667984,0.1494149414941494,0.9834099926266634,17290,55934,929,16,83
0.31,0.9676203854843745,0.7123406372523635,0.8282828282828283,0.0861344537815126,0.1560418648905804,0.984428215301429,17200,55993,870,17,82
0.32,0.9676203854843745,0.7123406372523635,0.8282828282828283,0.09151785714285714,0.16482412060301507,0.9854113268494786,16640,56049,814,17,82
