threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9749216484703532,0.7661410438339896,0.9797979797979798,0.004976145282922074,0.00990200081665986,0.6594571819809698,194960,37467,19396,2,97
0.02,0.9749216484703532,0.7661410438339896,0.9595959595959596,0.008648943918426803,0.017143372733014528,0.8087672483409992,110890,45974,10889,4,95
0.03,0.9749216484703532,0.7661410438339896,0.9393939393939394,0.012656505171475232,0.024976500604270174,0.8725290544573575,75550,49608,7255,6,93
0.04,0.9749216484703532,0.7661410438339896,0.9191919191919192,0.016833148353681094,0.03306085376930064,0.9065517362452161,57150,51548,5315,8,91
0.05,0.9749216484703532,0.7661410438339896,0.9191919191919192,0.02181208053691275,0.04261297120112386,0.9282153014290229,44810,52782,4081,8,91
0.060000000000000005,0.9749216484703532,0.7661410438339896,0.9191919191919192,0.027019002375296912,0.052494952408422266,0.9423299743688774,36770,53586,3277,8,91
0.06999999999999999,0.9749216484703532,0.7661410438339896,0.9090909090909091,0.03233920229967661,0.062456627342123525,0.9525648678066079,31430,54170,2693,9,90
0.08,0.9749216484703532,0.7661410438339896,0.9090909090909091,0.03862660944206009,0.07410456978180321,0.9605175380077947,26900,54623,2240,9,90
0.09,0.9749216484703532,0.7661410438339896,0.8787878787878788,0.04360902255639098,0.0830945558739255,0.9662933183525859,25080,54955,1908,12,87
0.09999999999999999,0.9749216484703532,0.7661410438339896,0.8787878787878788,0.051206592113007654,0.0967741935483871,0.9714897651065623,22120,55251,1612,12,87
0.11,0.9749216484703532,0.7661410438339896,0.8787878787878788,0.05858585858585859,0.10984848484848485,0.9752466556651803,19980,55465,1398,12,87
0.12,0.9749216484703532,0.7661410438339896,0.8787878787878788,0.06697459584295612,0.12446351931330472,0.9785119904497735,18120,55651,1212,12,87
0.13,0.9749216484703532,0.7661410438339896,0.8787878787878788,0.07532467532467532,0.13875598086124402,0.9810399915733296,16680,55795,1068,12,87
0.14,0.9749216484703532,0.7661410438339896,0.8585858585858586,0.08157389635316699,0.14899211218229624,0.9829535479793546,16570,55906,957,14,85
