threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9767422568189323,0.6851782779450403,1.0,0.0019519697148941205,0.003896333904008501,0.11135493837997261,506190,6244,50619,0,99
0.02,0.9767422568189323,0.6851782779450403,0.98989898989899,0.002173575531749728,0.004337626698534944,0.2101752045223131,450390,11874,44989,1,98
0.03,0.9767422568189323,0.6851782779450403,0.98989898989899,0.00241260462826194,0.0048134777376654635,0.2885959060426249,405720,16341,40522,1,98
0.04,0.9767422568189323,0.6851782779450403,0.98989898989899,0.0026743075453677175,0.0053342042238188545,0.3583792703907868,365970,20316,36547,1,98
0.05,0.9767422568189323,0.6851782779450403,0.98989898989899,0.0029645763378406994,0.005911448908191579,0.4213686317193919,330090,23904,32959,1,98
0.060000000000000005,0.9767422568189323,0.6851782779450403,0.98989898989899,0.0032818726767355412,0.0065420560747663555,0.4774762122116499,298130,27100,29763,1,98
0.06999999999999999,0.9767422568189323,0.6851782779450403,0.98989898989899,0.003605194422984954,0.007184224030496298,0.5244900108844492,271350,29778,27085,1,98
0.08,0.9767422568189323,0.6851782779450403,0.98989898989899,0.003927698288645746,0.00782435129740519,0.5636740282995681,249030,32010,24853,1,98
0.09,0.9767422568189323,0.6851782779450403,0.9797979797979798,0.004216657972526517,0.008397177855689737,0.597819599030933,230070,33956,22907,2,97
0.09999999999999999,0.9767422568189323,0.6851782779450403,0.9797979797979798,0.004550785831574009,0.009059493789109929,0.6274709455426425,213180,35645,21218,2,97
0.11,0.9767422568189323,0.6851782779450403,0.9797979797979798,0.004907913377858733,0.009766903287519509,0.6546996243109441,197670,37196,19667,2,97
0.12,0.9767422568189323,0.6851782779450403,0.9797979797979798,0.0052751794648683925,0.010493860550657218,0.6788560794915909,183910,38572,18291,2,97
0.13,0.9767422568189323,0.6851782779450403,0.9797979797979798,0.005670524962001637,0.011275791920953212,0.701362311716583,171090,39854,17009,2,97
0.14,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.006024474427361154,0.011974554072595733,0.7218847652821179,159890,41024,15839,3,96
0.15000000000000002,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.00644208831029392,0.012799146723551763,0.7400196622309609,149560,42057,14806,3,96
0.16,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.006889622506100187,0.013682035202736408,0.7570134475615322,139880,43025,13838,3,96
0.17,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.0073772381464689155,0.01464307504575961,0.7731821214142762,130670,43946,12917,3,96
0.18000000000000002,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.00792144566383365,0.015714519561302997,0.7888767950563533,121730,44840,12023,3,96
0.19,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.008464862005114187,0.016783216783216783,0.8025350233488993,113950,45618,11245,3,96
0.2,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.009131551412536859,0.018092725216735772,0.8170710298093465,105670,46446,10417,3,96
0.21000000000000002,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.009825997952917094,0.019454858648292633,0.8301148133843615,98240,47189,9674,3,96
0.22,0.9767422568189323,0.6851782779450403,0.9696969696969697,0.010580844263198502,0.020933275185346708,0.8423510410449071,91270,47886,8977,3,96
0.23,0.9767422568189323,0.6851782779450403,0.9595959595959596,0.011239943208707998,0.022219623435855457,0.8532179347635266,85570,48506,8357,4,95
0.24000000000000002,0.9767422568189323,0.6851782779450403,0.9595959595959596,0.01210499490316004,0.023908393104316094,0.8638214950317755,79530,49110,7753,4,95
0.25,0.9767422568189323,0.6851782779450403,0.9595959595959596,0.012949836423118866,0.025554808338937456,0.872809943471086,74410,49622,7241,4,95
0.26,0.9767422568189323,0.6851782779450403,0.9595959595959596,0.013921453692848768,0.02744474938610429,0.8817983919103964,69290,50134,6729,4,95
0.27,0.9767422568189323,0.6851782779450403,0.9595959595959596,0.014953565244766253,0.02944823310601364,0.8900670622520277,64580,50605,6258,4,95
0.28,0.9767422568189323,0.6851782779450403,0.9595959595959596,0.016063577950625633,0.03159820389156827,0.897773954566202,60190,51044,5819,4,95
0.29000000000000004,0.9767422568189323,0.6851782779450403,0.9494949494949495,0.01690951610001799,0.03322728879462708,0.9039710684315859,57150,51398,5465,5,94
0.3,0.9767422568189323,0.6851782779450403,0.9393939393939394,0.017915623193989597,0.03516068052930057,0.9103964046206243,53980,51765,5098,6,93
0.31,0.9767422568189323,0.6851782779450403,0.9292929292929293,0.018930041152263374,0.03710425489009881,0.9161721849654155,51180,52095,4768,7,92
0.32,0.9767422568189323,0.6851782779450403,0.9292929292929293,0.02007856831078132,0.039307840205084384,0.9210526315789473,48400,52373,4490,7,92
0.33,0.9767422568189323,0.6851782779450403,0.9292929292929293,0.021455223880597014,0.041942101664007296,0.9262139672062076,45460,52667,4196,7,92
0.34,0.9767422568189323,0.6851782779450403,0.9292929292929293,0.022931206380857428,0.04475796643152517,0.9310593026930234,42700,52943,3920,7,92
0.35000000000000003,0.9767422568189323,0.6851782779450403,0.9292929292929293,0.024435590969455512,0.047619047619047616,0.9353955268424564,40230,53190,3673,7,92
0.36000000000000004,0.9767422568189323,0.6851782779450403,0.9292929292929293,0.02603282399547255,0.05064684833470961,0.9394508619781609,37920,53421,3442,7,92
0.37,0.9767422568189323,0.6851782779450403,0.9191919191919192,0.02726183343319353,0.05295315682281059,0.9428566412696183,36470,53616,3247,8,91
0.38,0.9767422568189323,0.6851782779450403,0.898989898989899,0.02839821314613912,0.055057222394061245,0.946367753941224,35450,53818,3045,10,89
0.39,0.9767422568189323,0.6851782779450403,0.898989898989899,0.030354706684856753,0.058726492906631476,0.9499139777395457,33430,54020,2843,10,89
0.4,0.9767422568189323,0.6851782779450403,0.898989898989899,0.032446226759022964,0.06263194933145672,0.953231979214213,31540,54209,2654,10,89
0.41000000000000003,0.9767422568189323,0.6851782779450403,0.898989898989899,0.03434967194133539,0.06617100371747212,0.9559004248446332,30020,54361,2502,10,89
