threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9800804236729179,0.8229697275494084,0.8383838383838383,0.46111111111111114,0.5949820788530465,0.9980162213405428,8970,56766,97,16,83
0.02,0.9800804236729179,0.8229697275494084,0.8080808080808081,0.5633802816901409,0.6639004149377593,0.9985779993679997,10120,56801,62,19,80
0.03,0.9800804236729179,0.8229697275494084,0.797979797979798,0.6220472440944882,0.6991150442477876,0.9988062216916541,10480,56815,48,20,79
0.04,0.9800804236729179,0.8229697275494084,0.797979797979798,0.6810344827586207,0.7348837209302326,0.9989993328885924,10370,56826,37,20,79
0.05,0.9800804236729179,0.8229697275494084,0.797979797979798,0.7181818181818181,0.7559808612440191,0.9991046662687406,10310,56832,31,20,79
0.060000000000000005,0.9800804236729179,0.8229697275494084,0.797979797979798,0.7314814814814815,0.7632850241545893,0.9991397773954567,10290,56834,29,20,79
0.06999999999999999,0.9800804236729179,0.8229697275494084,0.797979797979798,0.7669902912621359,0.7821782178217822,0.9992275552122467,10240,56839,24,20,79
0.08,0.9800804236729179,0.8229697275494084,0.797979797979798,0.7745098039215687,0.7860696517412935,0.9992451107756047,10230,56840,23,20,79
0.09,0.9800804236729179,0.8229697275494084,0.797979797979798,0.7821782178217822,0.79,0.9992626663389628,10220,56841,22,20,79
0.09999999999999999,0.9800804236729179,0.8229697275494084,0.797979797979798,0.79,0.7939698492462312,0.9992802219023208,10210,56842,21,20,79
0.11,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8061224489795918,0.8020304568527918,0.9993153330290369,10190,56844,19,20,79
0.12,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8144329896907216,0.8061224489795918,0.9993328885923949,10180,56845,18,20,79
0.13,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8144329896907216,0.8061224489795918,0.9993328885923949,10180,56845,18,20,79
0.14,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8144329896907216,0.8061224489795918,0.9993328885923949,10180,56845,18,20,79
0.15000000000000002,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8229166666666666,0.8102564102564103,0.9993504441557529,10170,56846,17,20,79
0.16,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8229166666666666,0.8102564102564103,0.9993504441557529,10170,56846,17,20,79
0.17,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8315789473684211,0.8144329896907216,0.9993679997191109,10160,56847,16,20,79
0.18000000000000002,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8404255319148937,0.8186528497409327,0.999385555282469,10150,56848,15,20,79
0.19,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8404255319148937,0.8186528497409327,0.999385555282469,10150,56848,15,20,79
0.2,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8404255319148937,0.8186528497409327,0.999385555282469,10150,56848,15,20,79
0.21000000000000002,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8404255319148937,0.8186528497409327,0.999385555282469,10150,56848,15,20,79
0.22,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8494623655913979,0.8229166666666666,0.999403110845827,10140,56849,14,20,79
0.23,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8494623655913979,0.8229166666666666,0.999403110845827,10140,56849,14,20,79
0.24000000000000002,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8586956521739131,0.8272251308900523,0.999420666409185,10130,56850,13,20,79
0.25,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8777777777777778,0.8359788359788359,0.9994557775359011,10110,56852,11,20,79
0.26,0.9800804236729179,0.8229697275494084,0.797979797979798,0.8777777777777778,0.8359788359788359,0.9994557775359011,10110,56852,11,20,79
0.27,0.9800804236729179,0.8229697275494084,0.7878787878787878,0.8764044943820225,0.8297872340425532,0.9994382219725431,10610,56852,11,21,78
0.28,0.9800804236729179,0.8229697275494084,0.7878787878787878,0.8764044943820225,0.8297872340425532,0.9994382219725431,10610,56852,11,21,78
0.29000000000000004,0.9800804236729179,0.8229697275494084,0.7878787878787878,0.8764044943820225,0.8297872340425532,0.9994382219725431,10610,56852,11,21,78
0.3,0.9800804236729179,0.8229697275494084,0.7878787878787878,0.8863636363636364,0.8342245989304813,0.9994557775359011,10600,56853,10,21,78
0.31,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8850574712643678,0.8279569892473119,0.9994382219725431,11100,56853,10,22,77
0.32,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8850574712643678,0.8279569892473119,0.9994382219725431,11100,56853,10,22,77
0.33,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8850574712643678,0.8279569892473119,0.9994382219725431,11100,56853,10,22,77
0.34,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8953488372093024,0.8324324324324325,0.9994557775359011,11090,56854,9,22,77
0.35000000000000003,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8953488372093024,0.8324324324324325,0.9994557775359011,11090,56854,9,22,77
0.36000000000000004,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8953488372093024,0.8324324324324325,0.9994557775359011,11090,56854,9,22,77
0.37,0.9800804236729179,0.8229697275494084,0.7777777777777778,0.8953488372093024,0.8324324324324325,0.9994557775359011,11090,56854,9,22,77
