threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9659969549352804,0.7993303833181128,0.8484848484848485,0.09292035398230089,0.1674975074775673,0.9853411045960465,15700,56043,820,15,84
0.02,0.9659969549352804,0.7993303833181128,0.8484848484848485,0.14558058925476602,0.2485207100591716,0.9910817738141217,12430,56370,493,15,84
0.03,0.9659969549352804,0.7993303833181128,0.8282828282828283,0.19248826291079812,0.31238095238095237,0.9936624416277519,11940,56519,344,17,82
0.04,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.22131147540983606,0.34838709677419355,0.9946806643025174,11850,56578,285,18,81
0.05,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.2515527950310559,0.3847980997624703,0.9954531090902707,11410,56622,241,18,81
0.060000000000000005,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.2764505119453925,0.413265306122449,0.9959622204276535,11120,56651,212,18,81
0.06999999999999999,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.2956204379562044,0.4343163538873995,0.996295776131456,10930,56670,193,18,81
0.08,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.324,0.46418338108882523,0.9967171096520487,10690,56694,169,18,81
0.09,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.3347107438016529,0.4750733137829912,0.996857554158913,10610,56702,161,18,81
0.09999999999999999,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.35526315789473684,0.4954128440366973,0.9971033320459254,10470,56716,147,18,81
0.11,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.36486486486486486,0.5046728971962616,0.9972086654260736,10410,56722,141,18,81
0.12,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.38028169014084506,0.5192307692307693,0.9973666654962958,10320,56731,132,18,81
0.13,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.3875598086124402,0.525974025974026,0.9974368877497279,10280,56735,128,18,81
0.14,0.9659969549352804,0.7993303833181128,0.8181818181818182,0.39901477832512317,0.5364238410596026,0.997542221129876,10220,56741,122,18,81
0.15000000000000002,0.9659969549352804,0.7993303833181128,0.8080808080808081,0.41450777202072536,0.547945205479452,0.9976826656367402,10630,56750,113,19,80
0.16,0.9659969549352804,0.7993303833181128,0.8080808080808081,0.42780748663101603,0.5594405594405595,0.9977879990168884,10570,56756,107,19,80
0.17,0.9659969549352804,0.7993303833181128,0.8080808080808081,0.43243243243243246,0.5633802816901409,0.9978231101436045,10550,56758,105,19,80
0.18000000000000002,0.9659969549352804,0.7993303833181128,0.8080808080808081,0.4444444444444444,0.5734767025089605,0.9979108879603946,10500,56763,100,19,80
