threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9976487154295086,0.5994685417386802,0.9987819732034104,0.013310391844950167,0.026270684159097828,0.9044623126950847,1216720,1149310,121572,2,1640
0.02,0.9976487154295086,0.5994685417386802,0.9987819732034104,0.015253401787624283,0.030047911761742045,0.9167960682863349,1059770,1165005,105877,2,1640
0.03,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.02017652924304162,0.03955354449472097,0.9374495097931356,797440,1191288,79594,3,1639
0.04,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.026501738216509016,0.05163261770126167,0.9526853717493737,603560,1210676,60206,3,1639
0.05,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.026501738216509016,0.05163261770126167,0.9526853717493737,603560,1210676,60206,3,1639
0.060000000000000005,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.026501738216509016,0.05163261770126167,0.9526853717493737,603560,1210676,60206,3,1639
0.06999999999999999,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.027991255934692764,0.054455445544554455,0.9552715705165482,570650,1213967,56915,3,1639
0.08,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.028199304910360965,0.054849073020547486,0.9556110533082284,566330,1214399,56483,3,1639
0.09,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.03363983416115923,0.06508617266301327,0.9629979473864541,472330,1223799,47083,3,1639
0.09999999999999999,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.03363983416115923,0.06508617266301327,0.9629979473864541,472330,1223799,47083,3,1639
0.11,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.033642596165688245,0.06509134233518665,0.9630010907456362,472290,1223803,47079,3,1639
0.12,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.033642596165688245,0.06509134233518665,0.9630010907456362,472290,1223803,47079,3,1639
0.13,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.033642596165688245,0.06509134233518665,0.9630010907456362,472290,1223803,47079,3,1639
0.14,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.033642596165688245,0.06509134233518665,0.9630010907456362,472290,1223803,47079,3,1639
0.15000000000000002,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.04613912113278721,0.08820126463070092,0.9733702468479966,340340,1236998,33884,3,1639
0.16,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.04896483733158068,0.09335042004841236,0.9749812184288862,319840,1239048,31834,3,1639
0.17,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.05516661056883204,0.10455473335034447,0.9779383335795632,282210,1242811,28071,3,1639
0.18000000000000002,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.05516661056883204,0.10455473335034447,0.9779383335795632,282210,1242811,28071,3,1639
0.19,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.05516661056883204,0.10455473335034447,0.9779383335795632,282210,1242811,28071,3,1639
0.2,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.05516661056883204,0.10455473335034447,0.9779383335795632,282210,1242811,28071,3,1639
0.21000000000000002,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.05516661056883204,0.10455473335034447,0.9779383335795632,282210,1242811,28071,3,1639
0.22,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.059867772217554883,0.11296047417209415,0.9797716978225951,258880,1245144,25738,3,1639
0.23,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.059867772217554883,0.11296047417209415,0.9797716978225951,258880,1245144,25738,3,1639
0.24000000000000002,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.059867772217554883,0.11296047417209415,0.9797716978225951,258880,1245144,25738,3,1639
0.25,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.059867772217554883,0.11296047417209415,0.9797716978225951,258880,1245144,25738,3,1639
0.26,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.059867772217554883,0.11296047417209415,0.9797716978225951,258880,1245144,25738,3,1639
0.27,0.9976487154295086,0.5994685417386802,0.9981729598051157,0.059867772217554883,0.11296047417209415,0.9797716978225951,258880,1245144,25738,3,1639
