threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9834261940091704,0.2849073465444303,1.0,0.0029159644614611432,0.005814972669274315,0.558778459188196,5614650,709417,561465,0,1642
0.02,0.9834261940091704,0.2849073465444303,1.0,0.00293647415652373,0.005855753045562181,0.5618691671041175,5575320,713350,557532,0,1642
0.03,0.9834261940091704,0.2849073465444303,1.0,0.002958478599677486,0.005899503644075256,0.5651374748138346,5533730,717509,553373,0,1642
0.04,0.9834261940091704,0.2849073465444303,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.05,0.9834261940091704,0.2849073465444303,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.060000000000000005,0.9834261940091704,0.2849073465444303,1.0,0.002958499921623175,0.005899546036758986,0.5651406181730168,5533690,717513,553369,0,1642
0.06999999999999999,0.9834261940091704,0.2849073465444303,1.0,0.002958553227832022,0.0058996520211338326,0.5651484765709723,5533590,717523,553359,0,1642
0.08,0.9834261940091704,0.2849073465444303,1.0,0.0029586491838488748,0.005899842802604986,0.5651626216872924,5533410,717541,553341,0,1642
0.09,0.9834261940091704,0.2849073465444303,1.0,0.0029588091243762985,0.0059001607991448005,0.565186196881159,5533110,717571,553311,0,1642
0.09999999999999999,0.9834261940091704,0.2849073465444303,1.0,0.0029588891011248105,0.005900319810269863,0.5651979844780923,5532960,717586,553296,0,1642
0.11,0.9834261940091704,0.2849073465444303,1.0,0.002958995743515258,0.0059005318384361075,0.5652137012740035,5532760,717606,553276,0,1642
0.12,0.9834261940091704,0.2849073465444303,1.0,0.002959289049729393,0.005901114994474444,0.565256922462759,5532210,717661,553221,0,1642
0.13,0.9834261940091704,0.2849073465444303,1.0,0.0029595877485323724,0.005901708871792383,0.5653009294913102,5531650,717717,553165,0,1642
0.14,0.9834261940091704,0.2849073465444303,1.0,0.0029597958065353445,0.005902122535540339,0.5653315772433368,5531260,717756,553126,0,1642
0.15000000000000002,0.9834261940091704,0.2849073465444303,1.0,0.002959966542643708,0.005902461995262214,0.5653567241167946,5530940,717788,553094,0,1642
0.16,0.9834261940091704,0.2849073465444303,1.0,0.002960313411013015,0.005903151643049866,0.5654078037035057,5530290,717853,553029,0,1642
0.17,0.9834261940091704,0.2849073465444303,1.0,0.002960665699011008,0.005903852065719006,0.5654596691300124,5529630,717919,552963,0,1642
0.18000000000000002,0.9834261940091704,0.2849073465444303,1.0,0.0029611035069780694,0.0059047225193962225,0.565524107993248,5528810,718001,552881,0,1642
0.19,0.9834261940091704,0.2849073465444303,1.0,0.0029616643038285193,0.005905837499550409,0.5656066211717814,5527760,718106,552776,0,1642
0.2,0.9834261940091704,0.2849073465444303,1.0,0.0029625352951258895,0.005907569207964785,0.565734713058457,5526130,718269,552613,0,1642
0.21000000000000002,0.9834261940091704,0.2849073465444303,1.0,0.0029634174953527405,0.005909323198952013,0.5658643766247238,5524480,718434,552448,0,1642
0.22,0.9834261940091704,0.2849073465444303,1.0,0.0029646748697763855,0.005911823106155388,0.5660490489766794,5522130,718669,552213,0,1642
0.23,0.9834261940091704,0.2849073465444303,1.0,0.002965676181393904,0.00591381390574634,0.5661960010184484,5520260,718856,552026,0,1642
0.24000000000000002,0.9834261940091704,0.2849073465444303,1.0,0.002966790734651104,0.0059160298467669,0.566359455695924,5518180,719064,551818,0,1642
0.25,0.9834261940091704,0.2849073465444303,1.0,0.002968185104844541,0.005918802109429351,0.5665637740427686,5515580,719324,551558,0,1642
0.26,0.9834261940091704,0.2849073465444303,1.0,0.0029698117370866545,0.005922036141732141,0.566801883500822,5512550,719627,551255,0,1642
0.27,0.9834261940091704,0.2849073465444303,1.0,0.0029723061439124745,0.005926995442855209,0.5671665131659599,5507910,720091,550791,0,1642
0.28,0.9834261940091704,0.2849073465444303,1.0,0.002974917927051099,0.005932188081432106,0.5675476454668046,5503060,720576,550306,0,1642
0.29000000000000004,0.9834261940091704,0.2849073465444303,1.0,0.002977777294176106,0.005937872925179908,0.5679641405584492,5497760,721106,549776,0,1642
0.3,0.9834261940091704,0.2849073465444303,1.0,0.0029809938945904585,0.005944267962676369,0.5684317152368049,5491810,721701,549181,0,1642
0.31,0.9834261940091704,0.2849073465444303,1.0,0.002984906408095968,0.005952046514409789,0.5689990915691964,5484590,722423,548459,0,1642
0.32,0.9834261940091704,0.2849073465444303,1.0,0.0029896563715913456,0.005961489936808933,0.5696859155505122,5475850,723297,547585,0,1642
0.33,0.9834261940091704,0.2849073465444303,1.0,0.0029943887125040347,0.005970898234730482,0.5703680244930548,5467170,724165,546717,0,1642
0.34,0.9834261940091704,0.2849073465444303,1.0,0.0030000237517105797,0.0059821010581615425,0.5711774394824773,5456870,725195,545687,0,1642
0.35000000000000003,0.9834261940091704,0.2849073465444303,1.0,0.003006400960876507,0.005994779211770504,0.5720897994851177,5445260,726356,544526,0,1642
0.36000000000000004,0.9834261940091704,0.2849073465444303,1.0,0.00301381730613923,0.006009523007835803,0.5731459681703449,5431820,727700,543182,0,1642
0.37,0.9834261940091704,0.2849073465444303,1.0,0.0030220877436121125,0.006025964493784119,0.5743176553055188,5416910,729191,541691,0,1642
0.38,0.9834261940091704,0.2849073465444303,1.0,0.003031824929651322,0.006045321502862508,0.5756889457487638,5399460,730936,539946,0,1642
0.39,0.9834261940091704,0.2849073465444303,1.0,0.003042667763657724,0.006066876039164973,0.5772056165541868,5380160,732866,538016,0,1642
0.4,0.9834261940091704,0.2849073465444303,1.0,0.00305388375155298,0.006089171880041089,0.5787631510289786,5360340,734848,536034,0,1642
