threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.975740731410791,0.5688936241201179,1.0,0.002915969639819146,0.005814982965853797,0.5587792450279916,5614640,709418,561464,0,1642
0.02,0.975740731410791,0.5688936241201179,1.0,0.002944013540310753,0.005870743532171103,0.5629944896913536,5561000,714782,556100,0,1642
0.03,0.975740731410791,0.5688936241201179,1.0,0.0029582280898350095,0.0058990055756739665,0.5651005403434434,5534200,717462,553420,0,1642
0.04,0.975740731410791,0.5688936241201179,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.05,0.975740731410791,0.5688936241201179,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.060000000000000005,0.975740731410791,0.5688936241201179,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.06999999999999999,0.975740731410791,0.5688936241201179,1.0,0.002958499921623175,0.005899546036758986,0.5651406181730168,5533690,717513,553369,0,1642
0.08,0.975740731410791,0.5688936241201179,1.0,0.0029585052521576187,0.005899556635025114,0.5651414040128123,5533680,717514,553368,0,1642
0.09,0.975740731410791,0.5688936241201179,1.0,0.0029585212438762035,0.005899588430051971,0.565143761532199,5533650,717517,553365,0,1642
0.09999999999999999,0.975740731410791,0.5688936241201179,1.0,0.002958553227832022,0.0058996520211338326,0.5651484765709723,5533590,717523,553359,0,1642
0.11,0.975740731410791,0.5688936241201179,1.0,0.0029585958741821967,0.005899736811375497,0.5651547632893368,5533510,717531,553351,0,1642
0.12,0.975740731410791,0.5688936241201179,1.0,0.002958633190747154,0.005899811004836264,0.5651602641679057,5533440,717538,553344,0,1642
0.13,0.975740731410791,0.5688936241201179,1.0,0.0029587558089458218,0.005900054796489432,0.5651783384832034,5533210,717561,553321,0,1642
0.14,0.975740731410791,0.5688936241201179,1.0,0.0029588411145568855,0.0059002244025663465,0.5651909119199323,5533050,717577,553305,0,1642
0.15000000000000002,0.975740731410791,0.5688936241201179,1.0,0.002958910428987952,0.005900362214684068,0.5652011278372746,5532920,717590,553292,0,1642
0.16,0.975740731410791,0.5688936241201179,1.0,0.0029589584178042077,0.005900457626844567,0.5652082003954346,5532830,717599,553283,0,1642
0.17,0.975740731410791,0.5688936241201179,1.0,0.00295916638733001,0.005900871115199954,0.5652388481474613,5532440,717638,553244,0,1642
0.18000000000000002,0.975740731410791,0.5688936241201179,1.0,0.002959321050288633,0.005901178618470114,0.5652616375015324,5532150,717667,553215,0,1642
0.19,0.975740731410791,0.5688936241201179,1.0,0.002959502399864461,0.005901539180361748,0.5652883560545813,5531810,717701,553181,0,1642
0.2,0.975740731410791,0.5688936241201179,1.0,0.0029598438240749586,0.005902218004640538,0.5653386498014968,5531170,717765,553117,0,1642
0.21000000000000002,0.975740731410791,0.5688936241201179,1.0,0.0029600999439347696,0.005902727225340746,0.5653763701116835,5530690,717813,553069,0,1642
0.22,0.975740731410791,0.5688936241201179,1.0,0.002960377457140333,0.005903278980264282,0.5654172337810525,5530170,717865,553017,0,1642
0.23,0.975740731410791,0.5688936241201179,1.0,0.0029607831469770983,0.00590408557687986,0.5654769576055148,5529410,717941,552941,0,1642
0.24000000000000002,0.975740731410791,0.5688936241201179,1.0,0.0029613010968716972,0.005905115369123655,0.5655531840656837,5528440,718038,552844,0,1642
0.25,0.975740731410791,0.5688936241201179,1.0,0.0029619474533926203,0.005906400458987027,0.5656482706809459,5527230,718159,552723,0,1642
0.26,0.975740731410791,0.5688936241201179,1.0,0.0029627491136111437,0.0059079943222807305,0.5657661466502792,5525730,718309,552573,0,1642
0.27,0.975740731410791,0.5688936241201179,1.0,0.0029637598235461872,0.005910003815227798,0.5659146703716393,5523840,718498,552384,0,1642
0.28,0.975740731410791,0.5688936241201179,1.0,0.0029654137402319236,0.00591329212275303,0.5661574948684661,5520750,718807,552075,0,1642
