threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9742687476056147,0.5705414045487291,1.0,0.0029159644614611432,0.005814972669274315,0.558778459188196,5614650,709417,561465,0,1642
0.02,0.9742687476056147,0.5705414045487291,1.0,0.0029407761356553884,0.005864306658238065,0.5625119840568822,5567140,714168,556714,0,1642
0.03,0.9742687476056147,0.5705414045487291,1.0,0.002958004265867297,0.005898560564422555,0.5650675350720301,5534620,717420,553462,0,1642
0.04,0.9742687476056147,0.5705414045487291,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.05,0.9742687476056147,0.5705414045487291,1.0,0.002958499921623175,0.005899546036758986,0.5651406181730168,5533690,717513,553369,0,1642
0.060000000000000005,0.9742687476056147,0.5705414045487291,1.0,0.0029585052521576187,0.005899556635025114,0.5651414040128123,5533680,717514,553368,0,1642
0.06999999999999999,0.9742687476056147,0.5705414045487291,1.0,0.002958547897124695,0.005899641422524989,0.5651476907311768,5533600,717522,553360,0,1642
0.08,0.9742687476056147,0.5705414045487291,1.0,0.0029585958741821967,0.005899736811375497,0.5651547632893368,5533510,717531,553351,0,1642
0.09,0.9742687476056147,0.5705414045487291,1.0,0.0029586705082534654,0.005899885200163127,0.5651657650464745,5533370,717545,553337,0,1642
0.09999999999999999,0.9742687476056147,0.5705414045487291,1.0,0.002958750477508451,0.005900044196433384,0.5651775526434079,5533220,717560,553322,0,1642
0.11,0.9742687476056147,0.5705414045487291,1.0,0.0029588197876929674,0.005900182000132952,0.5651877685607501,5533090,717573,553309,0,1642
0.12,0.9742687476056147,0.5705414045487291,1.0,0.002958873105429226,0.00590028800735919,0.5651956269587057,5532990,717583,553299,0,1642
0.13,0.9742687476056147,0.5705414045487291,1.0,0.002958926425087083,0.005900394018394712,0.5652034853566612,5532890,717593,553289,0,1642
0.14,0.9742687476056147,0.5705414045487291,1.0,0.002959027737731388,0.0059005954498575165,0.5652184163127768,5532700,717612,553270,0,1642
0.15000000000000002,0.9742687476056147,0.5705414045487291,1.0,0.0029591610544128805,0.005900860512210505,0.5652380623076657,5532450,717637,553245,0,1642
0.16,0.9742687476056147,0.5705414045487291,1.0,0.0029592837163701377,0.005901104390608547,0.5652561366229635,5532220,717660,553222,0,1642
0.17,0.9742687476056147,0.5705414045487291,1.0,0.002959427723817986,0.0059013907083645565,0.5652773542974435,5531950,717687,553195,0,1642
0.18000000000000002,0.9742687476056147,0.5705414045487291,1.0,0.0029595770796796736,0.005901687659829886,0.565299357811719,5531670,717715,553167,0,1642
0.19,0.9742687476056147,0.5705414045487291,1.0,0.0029597584606371953,0.005902048283930937,0.565326076364768,5531330,717749,553133,0,1642
0.2,0.9742687476056147,0.5705414045487291,1.0,0.002959929192436858,0.005902387735111479,0.5653512232382257,5531010,717781,553101,0,1642
0.21000000000000002,0.9742687476056147,0.5705414045487291,1.0,0.0029601533078180858,0.005902833324046497,0.5653842285096391,5530590,717823,553059,0,1642
0.22,0.9742687476056147,0.5705414045487291,1.0,0.0029604094812432278,0.00590334265093161,0.5654219488198258,5530110,717871,553011,0,1642
0.23,0.9742687476056147,0.5705414045487291,1.0,0.002960724421829302,0.0059039688189905,0.5654683133677636,5529520,717930,552952,0,1642
