threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9875856642021604,0.6867697550481661,1.0,0.0028666151071663633,0.00571684222803655,0.551160528210077,5711590,699723,571159,0,1642
0.02,0.9875856642021604,0.6867697550481661,1.0,0.002916953861677408,0.005816939977823359,0.5589285545891473,5612740,709608,561274,0,1642
0.03,0.9875856642021604,0.6867697550481661,1.0,0.002947829521381638,0.005878330725912985,0.5635618660237449,5553780,715504,555378,0,1642
0.04,0.9875856642021604,0.6867697550481661,1.0,0.0029553210176959297,0.005893225661731718,0.5646714718150699,5539660,716916,553966,0,1642
0.05,0.9875856642021604,0.6867697550481661,1.0,0.002956390538830083,0.005895352114445946,0.5648294256139766,5537650,717117,553765,0,1642
0.060000000000000005,0.9875856642021604,0.6867697550481661,1.0,0.0029571412620257678,0.005896844721210685,0.5649402290251501,5536240,717258,553624,0,1642
0.06999999999999999,0.9875856642021604,0.6867697550481661,1.0,0.0029576899036859445,0.005897935542963874,0.5650211705240923,5535210,717361,553521,0,1642
0.08,0.9875856642021604,0.6867697550481661,1.0,0.0029579722937796114,0.0058984969968675464,0.5650628200332567,5534680,717414,553468,0,1642
0.09,0.9875856642021604,0.6867697550481661,1.0,0.00295806821211619,0.005898687703643032,0.5650769651495767,5534500,717432,553450,0,1642
0.09999999999999999,0.9875856642021604,0.6867697550481661,1.0,0.002958201442348401,0.005898952594623043,0.5650966111444656,5534250,717457,553425,0,1642
0.11,0.9875856642021604,0.6867697550481661,1.0,0.002958313365018395,0.005899175121432472,0.5651131137801724,5534040,717478,553404,0,1642
0.12,0.9875856642021604,0.6867697550481661,1.0,0.002958398645118282,0.005899344676937227,0.5651256872169013,5533880,717494,553388,0,1642
0.13,0.9875856642021604,0.6867697550481661,1.0,0.0029584839301350957,0.0058995142421890715,0.5651382606536302,5533720,717510,553372,0,1642
0.14,0.9875856642021604,0.6867697550481661,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.15000000000000002,0.9875856642021604,0.6867697550481661,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.16,0.9875856642021604,0.6867697550481661,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.17,0.9875856642021604,0.6867697550481661,1.0,0.00295849459110794,0.005899535438530936,0.5651398323332212,5533700,717512,553370,0,1642
0.18000000000000002,0.9875856642021604,0.6867697550481661,1.0,0.002958526574487483,0.005899599028470415,0.5651445473719946,5533640,717518,553364,0,1642
0.19,0.9875856642021604,0.6867697550481661,1.0,0.002958585212479392,0.005899715613586592,0.5651531916097456,5533530,717529,553353,0,1642
0.2,0.9875856642021604,0.6867697550481661,1.0,0.0029587718033732163,0.005900086596886105,0.5651806960025901,5533180,717564,553318,0,1642
0.21000000000000002,0.9875856642021604,0.6867697550481661,1.0,0.0029594063884968848,0.005901348289166066,0.5652742109382612,5531990,717683,553199,0,1642
0.22,0.9875856642021604,0.6867697550481661,1.0,0.0029613171188296126,0.0059051472240953026,0.5655555415850703,5528410,718041,552841,0,1642
0.23,0.9875856642021604,0.6867697550481661,1.0,0.002964771223302163,0.0059120146756223005,0.5660631940929994,5521950,718687,552195,0,1642
0.24000000000000002,0.9875856642021604,0.6867697550481661,1.0,0.002969408939331467,0.0059212353096027145,0.5667429455161553,5513300,719552,551330,0,1642
0.25,0.9875856642021604,0.6867697550481661,1.0,0.0029779177064592887,0.0059381520846819545,0.5679845723931336,5497500,721132,549750,0,1642
0.26,0.9875856642021604,0.6867697550481661,1.0,0.0029878883163012783,0.005957974869102349,0.5694305176169565,5479100,722972,547910,0,1642
