threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9900225161513799,0.644301720114351,0.9866017052375152,0.004543147279299794,0.009044645374529274,0.7210402318541733,3560610,915921,354961,22,1620
0.02,0.9900225161513799,0.644301720114351,0.9859926918392204,0.004973198789721851,0.009896481217163274,0.7454279840694557,3250760,946956,323926,23,1619
0.03,0.9900225161513799,0.644301720114351,0.9859926918392204,0.005298555088281979,0.010540467517586435,0.7611369215826185,3050860,966946,303936,23,1619
0.04,0.9900225161513799,0.644301720114351,0.9859926918392204,0.005578757305105304,0.011094740448860716,0.7731972049250152,2897390,982293,288589,23,1619
0.05,0.9900225161513799,0.644301720114351,0.9859926918392204,0.005827157649989022,0.011585843659094243,0.7829188290358374,2773680,994664,276218,23,1619
0.060000000000000005,0.9900225161513799,0.644301720114351,0.9859926918392204,0.006058247486332459,0.01204250207340794,0.791247159189139,2667700,1005262,265620,23,1619
0.06999999999999999,0.9900225161513799,0.644301720114351,0.9859926918392204,0.0062771158610582314,0.012474813436429692,0.7985696144041291,2574520,1014580,256302,23,1619
0.08,0.9900225161513799,0.644301720114351,0.9859926918392204,0.0064861183446176035,0.012887459602311623,0.8051007289449944,2491410,1022891,247991,23,1619
0.09,0.9900225161513799,0.644301720114351,0.9859926918392204,0.006688451988977894,0.013286773546271866,0.811034605241237,2415900,1030442,240440,23,1619
0.09999999999999999,0.9900225161513799,0.644301720114351,0.9859926918392204,0.006881192116593491,0.013667002925025642,0.8163625990551062,2348100,1037222,233660,23,1619
0.11,0.9900225161513799,0.644301720114351,0.9853836784409257,0.007068588903451288,0.014036487928446877,0.8213738994313663,2284820,1043600,227282,24,1618
0.12,0.9900225161513799,0.644301720114351,0.9853836784409257,0.00725967470555244,0.014413162477674296,0.8261085841995908,2224570,1049625,221257,24,1618
0.13,0.9900225161513799,0.644301720114351,0.9853836784409257,0.0074446939301358265,0.014777740229612106,0.830461350827175,2169180,1055164,215718,24,1618
0.14,0.9900225161513799,0.644301720114351,0.9853836784409257,0.007631859475675217,0.015146409046656182,0.834649876937488,2115880,1060494,210388,24,1618
0.15000000000000002,0.9900225161513799,0.644301720114351,0.9853836784409257,0.007814311104242331,0.015505658894670768,0.8385397839254898,2066380,1065444,205438,24,1618
0.16,0.9900225161513799,0.644301720114351,0.9853836784409257,0.008004828623446529,0.015880649752171565,0.8424124024379894,2017100,1070372,200510,24,1618
0.17,0.9900225161513799,0.644301720114351,0.9853836784409257,0.008190041355153197,0.016245061471192125,0.8460044761434755,1971390,1074943,195939,24,1618
0.18000000000000002,0.9900225161513799,0.644301720114351,0.9853836784409257,0.008379642337391953,0.016617966507299888,0.8495171800296104,1926690,1079413,191469,24,1618
0.19,0.9900225161513799,0.644301720114351,0.9853836784409257,0.008564789082805313,0.01698197370837816,0.8527972753362608,1884950,1083587,187295,24,1618
0.2,0.9900225161513799,0.644301720114351,0.9853836784409257,0.008749398411264986,0.01734478932727302,0.8559296327613467,1845090,1087573,183309,24,1618
0.21000000000000002,0.9900225161513799,0.644301720114351,0.9853836784409257,0.008945997799439354,0.017731021067915947,0.859123285690486,1804450,1091637,179245,24,1618
0.22,0.9900225161513799,0.644301720114351,0.9853836784409257,0.009146410401356699,0.01812458693192638,0.8622375688002741,1764820,1095600,175282,24,1618
0.23,0.9900225161513799,0.644301720114351,0.9853836784409257,0.00934153171097832,0.018507609510028767,0.8651412468448533,1727870,1099295,171587,24,1618
0.24000000000000002,0.9900225161513799,0.644301720114351,0.9853836784409257,0.009540600621495244,0.018898226393277,0.8679812718659923,1691730,1102909,167973,24,1618
0.25,0.9900225161513799,0.644301720114351,0.9853836784409257,0.009742703509902272,0.019294636734937243,0.870745856266758,1656550,1106427,164455,24,1618
0.26,0.9900225161513799,0.644301720114351,0.9853836784409257,0.009951901194474174,0.019704793452844895,0.8734892229930438,1621640,1109918,160964,24,1618
0.27,0.9900225161513799,0.644301720114351,0.9853836784409257,0.010166892876891369,0.020126130384486213,0.876190940210165,1587260,1113356,157526,24,1618
0.28,0.9900225161513799,0.644301720114351,0.9853836784409257,0.010383509600575007,0.020550468037544612,0.8787999283314106,1554060,1116676,154206,24,1618
0.29000000000000004,0.9900225161513799,0.644301720114351,0.9853836784409257,0.010601841234478918,0.020977978308926015,0.8813216882353496,1521970,1119885,150997,24,1618
0.3,0.9900225161513799,0.644301720114351,0.9853836784409257,0.010836151759702642,0.02143656802930636,0.8839149595606841,1488970,1123185,147697,24,1618
0.31,0.9900225161513799,0.644301720114351,0.9853836784409257,0.011078321956029058,0.02191031396206997,0.8864799406533787,1456330,1126449,144433,24,1618
0.32,0.9900225161513799,0.644301720114351,0.9847746650426309,0.01130690161527166,0.02235710532865083,0.888868107792073,1426430,1129489,141393,25,1617
0.33,0.9900225161513799,0.644301720114351,0.9847746650426309,0.011554869552168414,0.022841725348382223,0.8912798501246342,1395740,1132558,138324,25,1617
0.34,0.9900225161513799,0.644301720114351,0.9847746650426309,0.011816547551190423,0.023352878310851796,0.893715167651062,1364750,1135657,135225,25,1617
0.35000000000000003,0.9900225161513799,0.644301720114351,0.9847746650426309,0.01208574375532535,0.023878437047756874,0.8961104073479165,1334270,1138705,132177,25,1617
0.36000000000000004,0.9900225161513799,0.644301720114351,0.9847746650426309,0.012361062271622304,0.024415655009965575,0.898452209938673,1304470,1141685,129197,25,1617
0.37,0.9900225161513799,0.644301720114351,0.9847746650426309,0.01264684259099939,0.024972972972972973,0.9007751523743364,1274910,1144641,126241,25,1617
0.38,0.9900225161513799,0.644301720114351,0.9847746650426309,0.012938898313222163,0.0255421991248993,0.9030430860243107,1246050,1147527,123355,25,1617
0.39,0.9900225161513799,0.644301720114351,0.9847746650426309,0.013246931987613259,0.026142205839557668,0.9053267364701962,1216990,1150433,120449,25,1617
0.4,0.9900225161513799,0.644301720114351,0.9847746650426309,0.013568965083201169,0.026769085596510252,0.9076033143579217,1188020,1153330,117552,25,1617
0.41000000000000003,0.9900225161513799,0.644301720114351,0.9847746650426309,0.013904892940063635,0.02742258250517247,0.9098657471293272,1159230,1156209,114673,25,1617
0.42000000000000004,0.9900225161513799,0.644301720114351,0.9847746650426309,0.014261271431595286,0.028115382609149236,0.9121493975752127,1130170,1159115,111767,25,1617
0.43,0.9900225161513799,0.644301720114351,0.9847746650426309,0.014625939560588656,0.028823786308255866,0.9143709666772493,1101900,1161942,108940,25,1617
0.44,0.9900225161513799,0.644301720114351,0.9847746650426309,0.01500904998375644,0.029567459337886393,0.9165886065803082,1073680,1164764,106118,25,1617
0.45,0.9900225161513799,0.644301720114351,0.9847746650426309,0.015416003279595008,0.03035679085353834,0.9188235349588691,1045240,1167608,103274,25,1617
0.46,0.9900225161513799,0.644301720114351,0.9847746650426309,0.015834312573443008,0.031167479424066613,0.9210010970323546,1017530,1170379,100503,25,1617
0.47000000000000003,0.9900225161513799,0.644301720114351,0.9847746650426309,0.016272189349112426,0.032015364206941614,0.9231605847905423,990050,1173127,97755,25,1617
0.48000000000000004,0.9900225161513799,0.644301720114351,0.9847746650426309,0.016756650327982674,0.032952588622492125,0.9254183025231744,961320,1176000,94882,25,1617
0.49,0.9900225161513799,0.644301720114351,0.9847746650426309,0.017261809447558046,0.03392888991470567,0.9276375141058243,933080,1178824,92058,25,1617
0.5,0.9900225161513799,0.644301720114351,0.9847746650426309,0.017807193357267142,0.03498182762201454,0.9298920884792743,904390,1181693,89189,25,1617
0.51,0.9900225161513799,0.644301720114351,0.9847746650426309,0.018374164810690423,0.036075229234990965,0.9320940115864219,876370,1184495,86387,25,1617
0.52,0.9900225161513799,0.644301720114351,0.9847746650426309,0.018990017615971813,0.03726149875564568,0.9343367983629386,847830,1187349,83533,25,1617
0.53,0.9900225161513799,0.644301720114351,0.9847746650426309,0.019657901455195304,0.038546347393890276,0.9366102328914818,818900,1190242,80640,25,1617
0.54,0.9900225161513799,0.644301720114351,0.9847746650426309,0.02034371697448543,0.03986391539087346,0.9387893666445584,791170,1193015,77867,25,1617
0.55,0.9900225161513799,0.644301720114351,0.9847746650426309,0.02112731263719034,0.041367136534574946,0.9411060223618573,761690,1195963,74919,25,1617
0.56,0.9900225161513799,0.644301720114351,0.9847746650426309,0.021950126922502613,0.04294307453292435,0.9433605967353071,733000,1198832,72050,25,1617
0.5700000000000001,0.9900225161513799,0.644301720114351,0.9847746650426309,0.022853508585965656,0.044670359269030485,0.945648962219966,703880,1201744,69138,25,1617
0.5800000000000001,0.9900225161513799,0.644301720114351,0.9841656516443362,0.023782542789445024,0.04644278714201549,0.9478524570067048,676330,1204549,66333,26,1616
0.59,0.9900225161513799,0.644301720114351,0.9823386114494519,0.024774221293850218,0.04832958801498127,0.9500803128271058,649450,1207387,63495,29,1613
0.6,0.9900225161513799,0.644301720114351,0.9805115712545676,0.02580583115613329,0.050288141681373084,0.9522122961924491,623790,1210103,60779,32,1610
0.61,0.9900225161513799,0.644301720114351,0.9799025578562729,0.02697039793489557,0.05249592169657422,0.9543568529945211,596990,1212833,58049,33,1609
0.62,0.9900225161513799,0.644301720114351,0.9786845310596833,0.02826239887442842,0.05493829270794161,0.9565524893833044,570030,1215629,55253,35,1607
0.63,0.9900225161513799,0.644301720114351,0.976857490864799,0.029595734081222208,0.057450885581761854,0.9586404657200964,544930,1218289,52593,38,1604
0.64,0.9900225161513799,0.644301720114351,0.9738124238733252,0.03100880425086297,0.06010374379792512,0.9607001518242485,521170,1220915,49967,43,1599
0.65,0.9900225161513799,0.644301720114351,0.9719853836784409,0.032524301522284034,0.06294244079427366,0.9626561070753872,497750,1223407,47475,46,1596
0.66,0.9900225161513799,0.644301720114351,0.9689403166869671,0.03416215751953964,0.06599742813290746,0.9646120623265259,475310,1225901,44981,51,1591
0.67,0.9900225161513799,0.644301720114351,0.9658952496954933,0.03588641249010069,0.06920173658834566,0.9664721451226067,454090,1228273,42609,56,1586
0.68,0.9900225161513799,0.644301720114351,0.9634591961023142,0.03767832900659728,0.07252057117971991,0.9682009926728298,434050,1230477,40405,60,1582
0.6900000000000001,0.9900225161513799,0.644301720114351,0.9628501827040195,0.0395655546935609,0.07600778827432032,0.9697931040986261,414280,1232504,38378,61,1581
0.7000000000000001,0.9900225161513799,0.644301720114351,0.9610231425091352,0.04162160736422863,0.07978763746681836,0.9713962172815601,395350,1234547,36335,64,1578
0.7100000000000001,0.9900225161513799,0.644301720114351,0.9579780755176613,0.04372602435092011,0.08363462356444067,0.9729121022471875,378510,1236481,34401,69,1573
0.72,0.9900225161513799,0.644301720114351,0.9567600487210719,0.04589541338007596,0.08758920606601249,0.9742794634914548,362090,1238223,32659,71,1571
0.73,0.9900225161513799,0.644301720114351,0.953714981729598,0.04805007517412783,0.0914906669003593,0.9755595965184154,348250,1239857,31025,76,1566
0.74,0.9900225161513799,0.644301720114351,0.951278928136419,0.05037897113368812,0.09569026250497749,0.9767996517158026,334430,1241439,29443,80,1562
0.75,0.9900225161513799,0.644301720114351,0.9470158343483557,0.05268150557305959,0.09981064860874868,0.9779579795744521,323120,1242920,27962,87,1555
0.76,0.9900225161513799,0.644301720114351,0.9445797807551766,0.05538098978790259,0.1046276308688613,0.9791390967871726,310050,1244427,26455,91,1551
0.77,0.9900225161513799,0.644301720114351,0.938489646772229,0.05784751679867863,0.10897775891941586,0.9801976229917864,301480,1245784,25098,101,1541
0.78,0.9900225161513799,0.644301720114351,0.9342265529841657,0.060733233035077994,0.11405204460966542,0.9812718659923113,291240,1247158,23724,108,1534
0.79,0.9900225161513799,0.644301720114351,0.9299634591961023,0.0637764691141461,0.11936681649403948,0.9822942435663296,281660,1248466,22416,115,1527
0.8,0.9900225161513799,0.644301720114351,0.9244823386114495,0.06688697951090548,0.12474832559477339,0.9832608265148634,273770,1249705,21177,124,1518
0.81,0.9900225161513799,0.644301720114351,0.9220462850182704,0.07051043219076006,0.13100285541230422,0.9842156218664638,263580,1250924,19958,128,1514
0.8200000000000001,0.9900225161513799,0.644301720114351,0.9159561510353228,0.07428260976934854,0.13742062223034401,0.9851625588201087,256430,1252139,18743,138,1504
0.8300000000000001,0.9900225161513799,0.644301720114351,0.9098660170523751,0.07829778313505581,0.14418761762293103,0.9860631312258158,249870,1253295,17587,148,1494
0.8400000000000001,0.9900225161513799,0.644301720114351,0.9019488428745432,0.08269585124797588,0.15150120198455322,0.9869637036315229,244780,1254454,16428,161,1481
0.85,0.9900225161513799,0.644301720114351,0.8964677222898904,0.08808569205912273,0.16040974227646707,0.9878909945902788,237390,1255643,15239,170,1472
0.86,0.9900225161513799,0.644301720114351,0.892204628501827,0.09420616037553856,0.170418193450823,0.9887915669959859,229360,1256796,14086,177,1465
0.87,0.9900225161513799,0.644301720114351,0.8842874543239951,0.1010016694490818,0.1812960419528031,0.9896944969210797,224240,1257958,12924,190,1452
0.88,0.9900225161513799,0.644301720114351,0.8763702801461632,0.10904819642315854,0.19396145033023318,0.9906013560451512,219070,1259125,11757,203,1439
0.89,0.9900225161513799,0.644301720114351,0.8672350791717418,0.11812525922853588,0.20792874352047894,0.9914744240580139,215310,1260251,10631,218,1424
0.9,0.9900225161513799,0.644301720114351,0.856272838002436,0.12855444820334644,0.22354718181095476,0.9923247027168054,213310,1261351,9531,236,1406
0.91,0.9900225161513799,0.644301720114351,0.8447015834348356,0.14115611642580908,0.24189047785141263,0.9931679088174369,211890,1262443,8439,255,1387
0.92,0.9900225161513799,0.644301720114351,0.8319123020706456,0.15556314770527274,0.2621126355176053,0.9939561061323794,212150,1263467,7415,276,1366
0.93,0.9900225161513799,0.644301720114351,0.8166869671132765,0.17117692111309676,0.2830308146897425,0.9946610044289931,215430,1264389,6493,301,1341
0.9400000000000001,0.9900225161513799,0.644301720114351,0.7990255785627284,0.19064225515838418,0.30783669638667294,0.9953635452062201,220700,1265312,5570,330,1312
0.9500000000000001,0.9900225161513799,0.644301720114351,0.7777101096224117,0.21138884290680351,0.33242223089938827,0.9959694276885936,230140,1266118,4764,365,1277
0.9600000000000001,0.9900225161513799,0.644301720114351,0.7521315468940317,0.2392020143327523,0.3629684055841293,0.9965933844862651,242780,1266954,3928,407,1235
0.97,0.9900225161513799,0.644301720114351,0.7247259439707674,0.2816568047337278,0.40565876938810297,0.9972597766328966,256350,1267847,3035,452,1190
