threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9614818929370968,0.5591125529974854,0.7332521315468941,0.07027374073425553,0.12825565912117176,0.9871381600661363,378290,1254953,15929,438,1204
0.02,0.9614818929370968,0.5591125529974854,0.6516443361753959,0.19363011219688744,0.29854910714285715,0.9960487975079448,330560,1266426,4456,572,1070
0.03,0.9614818929370968,0.5591125529974854,0.6041412911084044,0.30087958750379135,0.40170074913950193,0.9976778434041322,348050,1268577,2305,650,992
0.04,0.9614818929370968,0.5591125529974854,0.5688185140073082,0.3962664403903267,0.4671167791947987,0.9983253753956703,368230,1269459,1423,708,934
0.05,0.9614818929370968,0.5591125529974854,0.5511571254567601,0.4915806626833243,0.5196669537754809,0.998685290022035,377860,1269946,936,737,905
0.060000000000000005,0.9614818929370968,0.5591125529974854,0.5316686967113277,0.5792966157929662,0.5544617338837726,0.998897466766835,390840,1270248,634,769,873
0.06999999999999999,0.9614818929370968,0.5591125529974854,0.5176613885505481,0.65284178187404,0.5774456521739131,0.9990224152943284,400520,1270430,452,792,850
0.08,0.9614818929370968,0.5591125529974854,0.5042630937880633,0.7076923076923077,0.5889046941678521,0.9990915691963373,410420,1270540,342,814,828
0.09,0.9614818929370968,0.5591125529974854,0.49573690621193667,0.7565055762081785,0.5989698307579102,0.999143434622844,416620,1270620,262,828,814
0.09999999999999999,0.9614818929370968,0.5591125529974854,0.4866017052375152,0.7864173228346457,0.6012039127163281,0.9991670098167107,423670,1270665,217,843,799
0.11,0.9614818929370968,0.5591125529974854,0.4707673568818514,0.8094240837696335,0.5953022718521371,0.9991740823748707,436320,1270700,182,869,773
0.12,0.9614818929370968,0.5591125529974854,0.46224116930572473,0.834983498349835,0.5950607604860839,0.9991882274911907,443000,1270732,150,883,759
0.13,0.9614818929370968,0.5591125529974854,0.45371498172959807,0.8582949308755761,0.5936254980079682,0.9991984434085329,449730,1270759,123,897,745
0.14,0.9614818929370968,0.5591125529974854,0.4464068209500609,0.8684834123222749,0.589702333065165,0.9991984434085329,455610,1270771,111,909,733
0.15000000000000002,0.9614818929370968,0.5591125529974854,0.4403166869671133,0.8806333739342266,0.587088915956151,0.9992008009279196,460480,1270784,98,919,723
0.16,0.9614818929370968,0.5591125529974854,0.4330085261875761,0.8898623279098874,0.582548136009832,0.9991992292483285,466380,1270794,88,931,711
0.17,0.9614818929370968,0.5591125529974854,0.42570036540803896,0.8984575835475579,0.5776859504132231,0.9991968717289419,472290,1270803,79,943,699
0.18000000000000002,0.9614818929370968,0.5591125529974854,0.4220462850182704,0.9011703511053316,0.5748652011613439,0.9991945142095552,475260,1270806,76,949,693
0.19,0.9614818929370968,0.5591125529974854,0.41839220462850185,0.909933774834437,0.5732165206508135,0.9991960858891463,478180,1270814,68,955,687
0.2,0.9614818929370968,0.5591125529974854,0.415347137637028,0.9228687415426252,0.5728685426291474,0.9992008009279196,480570,1270825,57,960,682
0.21000000000000002,0.9614818929370968,0.5591125529974854,0.41291108404384896,0.9300411522633745,0.5719105862505272,0.9992023726075108,482510,1270831,51,964,678
0.22,0.9614818929370968,0.5591125529974854,0.40864799025578563,0.9306518723994452,0.5679221328819297,0.9991976575687374,486000,1270832,50,971,671
0.23,0.9614818929370968,0.5591125529974854,0.4043848964677223,0.9352112676056338,0.564625850340136,0.9991953000493508,489460,1270836,46,978,664
0.24000000000000002,0.9614818929370968,0.5591125529974854,0.40194884287454324,0.9375,0.5626598465473146,0.9991937283697596,491440,1270838,44,982,660
0.25,0.9614818929370968,0.5591125529974854,0.3995127892813642,0.943884892086331,0.5614035087719298,0.9991945142095552,493390,1270843,39,986,656
0.26,0.9614818929370968,0.5591125529974854,0.39707673568818513,0.9476744186046512,0.559656652360515,0.9991937283697596,495360,1270846,36,990,652
0.27,0.9614818929370968,0.5591125529974854,0.392204628501827,0.9484536082474226,0.5549332184403274,0.9991882274911907,499350,1270847,35,998,644
0.28,0.9614818929370968,0.5591125529974854,0.38855054811205847,0.9508196721311475,0.551664504971898,0.9991850841320085,502330,1270849,33,1004,638
0.29000000000000004,0.9614818929370968,0.5591125529974854,0.3867235079171742,0.9548872180451128,0.5504984828781968,0.9991850841320085,503800,1270852,30,1007,635
0.3,0.9614818929370968,0.5591125529974854,0.3848964677222899,0.9561270801815431,0.5488493269648285,0.9991835124524174,505290,1270853,29,1010,632
0.31,0.9614818929370968,0.5591125529974854,0.3812423873325213,0.9586523736600306,0.5455337690631809,0.9991803690932352,508270,1270855,27,1016,626
0.32,0.9614818929370968,0.5591125529974854,0.37880633373934225,0.9598765432098766,0.5432314410480349,0.9991780115738486,510260,1270856,26,1020,622
0.33,0.9614818929370968,0.5591125529974854,0.37576126674786847,0.9610591900311527,0.5402802101576182,0.9991748682146663,512750,1270857,25,1025,617
0.34,0.9614818929370968,0.5591125529974854,0.37088915956151036,0.9636075949367089,0.5356200527704486,0.999170153175893,516730,1270859,23,1033,609
0.35000000000000003,0.9614818929370968,0.5591125529974854,0.3690621193666261,0.964968152866242,0.533920704845815,0.9991685814963018,518220,1270860,22,1036,606
0.36000000000000004,0.9614818929370968,0.5591125529974854,0.36723507917174175,0.9663461538461539,0.5322153574580759,0.9991670098167107,519710,1270861,21,1039,603
0.37,0.9614818929370968,0.5591125529974854,0.36479902557856275,0.9676898222940227,0.5298540468819106,0.9991646522973241,521700,1270862,20,1043,599
0.38,0.9614818929370968,0.5591125529974854,0.36114494518879414,0.9705400981996727,0.5264092321349312,0.9991615089381418,524680,1270864,18,1049,593
