threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9889452089514456,0.5838788181081823,1.0,0.0034231582282967183,0.006822960383614922,0.624343430850813,4780320,792850,478032,0,1642
0.02,0.9889452089514456,0.5838788181081823,1.0,0.0036264692501026983,0.007226730982518529,0.6454762346329028,4511400,819742,451140,0,1642
0.03,0.9889452089514456,0.5838788181081823,0.9993909866017052,0.0038133436819564473,0.007597697078289616,0.6631175522033376,4287400,842192,428690,1,1641
0.04,0.9889452089514456,0.5838788181081823,0.9987819732034104,0.003994261901804481,0.007956703886898365,0.6786300297676114,4090490,861933,408949,2,1640
0.05,0.9889452089514456,0.5838788181081823,0.9987819732034104,0.004179589839519041,0.008324344901973224,0.6929370290855025,3908430,880139,390743,2,1640
0.060000000000000005,0.9889452089514456,0.5838788181081823,0.9987819732034104,0.004365614926143911,0.008693232265673659,0.7060762704671975,3741230,896859,374023,2,1640
0.06999999999999999,0.9889452089514456,0.5838788181081823,0.9987819732034104,0.00455259636791641,0.009063878234533376,0.7182009926728298,3586940,912288,358594,2,1640
0.08,0.9889452089514456,0.5838788181081823,0.9981729598051157,0.00474435757230152,0.009443828236412613,0.7298070606133951,3439740,927058,343824,3,1639
0.09,0.9889452089514456,0.5838788181081823,0.9981729598051157,0.0049392761353705215,0.009829910757125035,0.740520414546209,3303410,940691,330191,3,1639
0.09999999999999999,0.9889452089514456,0.5838788181081823,0.9969549330085262,0.005134188299570635,0.010215766728552038,0.7507229726119115,3174560,953676,317206,5,1637
0.11,0.9889452089514456,0.5838788181081823,0.9969549330085262,0.005344136956159796,0.010631285333437244,0.7605664018910449,3049300,966202,304680,5,1637
0.12,0.9889452089514456,0.5838788181081823,0.9969549330085262,0.005560518619415279,0.011059353666239922,0.7699336122540714,2930100,978122,292760,5,1637
0.13,0.9889452089514456,0.5838788181081823,0.9957369062119367,0.00577795682965099,0.011489245082813916,0.7789086885591155,2816870,989545,281337,7,1635
0.14,0.9889452089514456,0.5838788181081823,0.9951278928136419,0.006007507546150085,0.011942916659053119,0.7875348519949329,2707590,1000523,270359,8,1634
0.15000000000000002,0.9889452089514456,0.5838788181081823,0.9951278928136419,0.006247681972340434,0.01241740412418924,0.7957515928972656,2603030,1010979,259903,8,1634
0.16,0.9889452089514456,0.5838788181081823,0.9945188794153471,0.006499709443484767,0.012915012416760253,0.8038402419129227,2500590,1021273,249609,9,1633
0.17,0.9889452089514456,0.5838788181081823,0.9945188794153471,0.006765070198477963,0.01343872541960013,0.8115846930981262,2402040,1031128,239754,9,1633
0.18000000000000002,0.9889452089514456,0.5838788181081823,0.9945188794153471,0.007044288863294208,0.013989488608375704,0.8191036082620052,2306360,1040696,230186,9,1633
