threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9890230050577187,0.5838571161211094,1.0,0.003448666949504963,0.006873629041710621,0.6271315904454454,4744840,796398,474484,0,1642
0.02,0.9890230050577187,0.5838571161211094,1.0,0.003663346897979582,0.00729995154112558,0.6490580924210467,4465820,824300,446582,0,1642
0.03,0.9890230050577187,0.5838571161211094,0.9993909866017052,0.0038593239950706014,0.007688955735792299,0.6671465528351528,4236130,847319,423563,1,1641
0.04,0.9890230050577187,0.5838571161211094,0.9987819732034104,0.0040499427081275435,0.008067173980412509,0.6830660954135246,4034040,867578,403304,2,1640
0.05,0.9890230050577187,0.5838571161211094,0.9987819732034104,0.0042429777424771225,0.008450058351774899,0.6975436219670513,3849810,886001,384881,2,1640
0.060000000000000005,0.9890230050577187,0.5838571161211094,0.9987819732034104,0.004436497223131464,0.008833755719722168,0.710792880920124,3681210,902861,368021,2,1640
0.06999999999999999,0.9890230050577187,0.5838571161211094,0.9987819732034104,0.004632650582329828,0.009222524328625534,0.7230928454001654,3524690,918513,352369,2,1640
0.08,0.9890230050577187,0.5838571161211094,0.9981729598051157,0.004831088748780438,0.009615638466073927,0.7346808390254329,3377720,933260,337622,3,1639
0.09,0.9890230050577187,0.5838571161211094,0.9981729598051157,0.005032531833296999,0.01001457276146192,0.7453525434490823,3241920,946840,324042,3,1639
0.09999999999999999,0.9890230050577187,0.5838571161211094,0.9969549330085262,0.0052368080103648495,0.010418887654859231,0.7556328996545448,3112080,959924,310958,5,1637
0.11,0.9890230050577187,0.5838571161211094,0.9969549330085262,0.005453285629576329,0.010847237499503028,0.7653843856775983,2987990,972333,298549,5,1637
0.12,0.9890230050577187,0.5838571161211094,0.9969549330085262,0.0056790191983459035,0.011293705328807573,0.7747610261181714,2868670,984265,286617,5,1637
0.13,0.9890230050577187,0.5838571161211094,0.9957369062119367,0.005901994404837109,0.011734435724359182,0.7835820778232866,2757400,995492,275390,7,1635
0.14,0.9890230050577187,0.5838571161211094,0.9951278928136419,0.0061405255899075915,0.012205734603705793,0.7921650200703484,2648670,1006415,264467,8,1634
0.15000000000000002,0.9890230050577187,0.5838571161211094,0.9951278928136419,0.0063883523993463085,0.012695206277678502,0.8002772442798721,2545440,1016738,254144,8,1634
0.16,0.9890230050577187,0.5838571161211094,0.9945188794153471,0.006647371784695169,0.013206471413610026,0.8082260138119203,2444780,1026854,244028,9,1633
0.17,0.9890230050577187,0.5838571161211094,0.9945188794153471,0.0069226595221542064,0.013749610582064042,0.815902882774706,2347090,1036623,234259,9,1633
0.18000000000000002,0.9890230050577187,0.5838571161211094,0.9945188794153471,0.007207135638027902,0.01431056466701428,0.8232198371111272,2253980,1045934,224948,9,1633
0.19,0.9890230050577187,0.5838571161211094,0.9945188794153471,0.007507390159020591,0.014902286446949959,0.830341117338455,2163360,1054996,215886,9,1633
