threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.975828740100953,0.5710879520796865,0.9993909866017052,0.002894547455761578,0.005772376312503298,0.5557741936497858,5653370,705595,565287,1,1641
0.02,0.975828740100953,0.5710879520796865,0.9993909866017052,0.002946965397849308,0.005876602099246893,0.5636986021481717,5552530,715679,555203,1,1641
0.03,0.975828740100953,0.5710879520796865,0.9993909866017052,0.002980861452611387,0.005943993885763755,0.5686745397336317,5489210,722011,548871,1,1641
0.04,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0029995777559648825,0.005981203493955923,0.5713738994313663,5454860,725446,545436,1,1641
0.05,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0030146101122625374,0.006011088094858706,0.5735176703936429,5427580,728174,542708,1,1641
0.060000000000000005,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0030293296708165346,0.006040349979571028,0.5755962166528883,5401130,730819,540063,1,1641
0.06999999999999999,0.975828740100953,0.5710879520796865,0.9993909866017052,0.003043894404131238,0.0060693032321536226,0.5776331134029692,5375210,733411,537471,1,1641
0.08,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0030589020387088114,0.00609913604864442,0.5797116596622146,5348760,736056,534826,1,1641
0.09,0.975828740100953,0.5710879520796865,0.9993909866017052,0.003076080986595335,0.00613328399795931,0.5820660356897002,5318800,739052,531830,1,1641
0.09999999999999999,0.975828740100953,0.5710879520796865,0.9993909866017052,0.003096062849509837,0.006173002050143886,0.5847716821057992,5284370,742495,528387,1,1641
0.11,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0031189476545171522,0.006218488350281651,0.5878278130707162,5245480,746384,524498,1,1641
0.12,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0031467405060863827,0.006273727190356582,0.5914796106006645,5199010,751031,519851,1,1641
0.13,0.975828740100953,0.5710879520796865,0.9993909866017052,0.003179733413940835,0.006339297269002922,0.5957317897344175,5144900,756442,514440,1,1641
0.14,0.975828740100953,0.5710879520796865,0.9993909866017052,0.0032178237236554163,0.0064149925529793945,0.6005324850454687,5083810,762551,508331,1,1641
0.15000000000000002,0.975828740100953,0.5710879520796865,0.9987819732034104,0.0032614099632097045,0.006501589717973724,0.6061276643898268,5013100,769672,501210,2,1640
0.16,0.975828740100953,0.5710879520796865,0.9987819732034104,0.003313700332380308,0.006605485372273475,0.612363303167563,4933750,777607,493275,2,1640
0.17,0.975828740100953,0.5710879520796865,0.9987819732034104,0.003373506863235152,0.006724301584926084,0.6192582615337707,4846010,786381,484501,2,1640
0.18000000000000002,0.975828740100953,0.5710879520796865,0.9981729598051157,0.0034396497811131957,0.006855675277740597,0.6268313996435431,4750130,796019,474863,3,1639
0.19,0.975828740100953,0.5710879520796865,0.997563946406821,0.003516040054522233,0.0070073817076535755,0.6351888058692803,4644270,806655,464227,4,1638
0.2,0.975828740100953,0.5710879520796865,0.9957369062119367,0.0035972964172247793,0.0071686945083853995,0.6441088733886355,4532230,818009,452873,7,1635
0.21000000000000002,0.975828740100953,0.5710879520796865,0.9951278928136419,0.0036949433095295166,0.007362549226346571,0.6537589860780622,4409920,830290,440592,8,1634
0.22,0.975828740100953,0.5710879520796865,0.9951278928136419,0.0038070208547390885,0.00758502398752231,0.6639898343764047,4279730,843309,427573,8,1634
0.23,0.975828740100953,0.5710879520796865,0.9945188794153471,0.003930081609961662,0.007829224149297024,0.6747495528571563,4143300,857002,413880,9,1633
0.24000000000000002,0.975828740100953,0.5710879520796865,0.9902557856272838,0.0040495509630758654,0.008066116358441146,0.6857300923204592,4007000,870982,399900,16,1626
0.25,0.975828740100953,0.5710879520796865,0.98721071863581,0.004184878158343811,0.008334425909215942,0.696864656383691,3867760,885156,385726,21,1621
0.26,0.975828740100953,0.5710879520796865,0.9853836784409257,0.0043358719711870854,0.008633753815286761,0.7080039354856962,3727480,899334,371548,24,1618
0.27,0.975828740100953,0.5710879520796865,0.9823386114494519,0.004501185991349239,0.008961310251338919,0.7196390794986971,3581870,914145,356737,29,1613
0.28,0.975828740100953,0.5710879520796865,0.9799025578562729,0.0046899229325280695,0.00933516671598234,0.7316357098176537,3431170,929415,341467,33,1609
0.29000000000000004,0.975828740100953,0.5710879520796865,0.9750304506699148,0.004891342537571071,0.00973385417458315,0.7440103290782728,3277620,945170,325712,41,1601
0.3,0.975828740100953,0.5710879520796865,0.9713763702801461,0.005128815259752788,0.010203755237821067,0.7568297336631765,3117430,961489,309393,47,1595
0.31,0.975828740100953,0.5710879520796865,0.9671132764920828,0.005379494910144142,0.010699474795931774,0.7692294997972533,2963070,977275,293607,54,1588
0.32,0.975828740100953,0.5710879520796865,0.9604141291108405,0.005643106607122409,0.011220286163544386,0.7815805438640057,2811290,993003,277879,65,1577
0.33,0.975828740100953,0.5710879520796865,0.9585870889159561,0.005959999091232667,0.011846343739651384,0.7936478997645624,2659200,1008362,262520,68,1574
0.34,0.975828740100953,0.5710879520796865,0.9579780755176613,0.006308907873099907,0.012535262897853146,0.8052484668265588,2512070,1023125,247757,69,1573
0.35000000000000003,0.975828740100953,0.5710879520796865,0.9549330085261876,0.006685255770723014,0.013277558555049368,0.8168584639661021,2366780,1037904,232978,74,1568
0.36000000000000004,0.975828740100953,0.5710879520796865,0.9500609013398295,0.007078072042069157,0.014051458964785784,0.8279631661171027,2229390,1052043,218839,82,1560
0.37,0.975828740100953,0.5710879520796865,0.9457978075517661,0.007514903995044906,0.014911328961391851,0.8387519606702899,2095530,1065779,205103,89,1553
0.38,0.975828740100953,0.5710879520796865,0.9451887941534713,0.008022496071458109,0.01590995294672421,0.8491234742920369,1964040,1078978,191904,90,1552
0.39,0.975828740100953,0.5710879520796865,0.9415347137637028,0.008549182684863633,0.016944508379092275,0.8590313424344059,1840900,1091592,179290,96,1546
0.4,0.975828740100953,0.5710879520796865,0.9378806333739342,0.00912127745267597,0.018066847335140017,0.8684519899035303,1723960,1103586,167296,102,1540
0.41000000000000003,0.975828740100953,0.5710879520796865,0.9330085261875761,0.009726613589323582,0.019252519667227987,0.87734298135045,1614740,1114908,155974,110,1532
0.42000000000000004,0.975828740100953,0.5710879520796865,0.9287454323995128,0.01039040675887443,0.020550898849149665,0.8857687556384005,1510950,1125637,145245,117,1525
0.43,0.975828740100953,0.5710879520796865,0.925700365408039,0.011080897844327966,0.021899650614126714,0.8933026017583952,1417530,1135229,135653,122,1520
0.44,0.975828740100953,0.5710879520796865,0.9226552984165651,0.011836584813231974,0.023373317391136652,0.9005087526836429,1328280,1144404,126478,127,1515
0.45,0.975828740100953,0.5710879520796865,0.915347137637028,0.012594057414824621,0.02484626066256695,0.9072881925999038,1247890,1153043,117839,139,1503
0.46,0.975828740100953,0.5710879520796865,0.9123020706455542,0.013424141948203244,0.02645895153313551,0.9133721642970978,1172920,1160790,110092,144,1498
0.47000000000000003,0.975828740100953,0.5710879520796865,0.9086479902557856,0.014266726589468249,0.02809237344781164,0.9188722570261936,1105870,1167795,103087,150,1492
0.48000000000000004,0.975828740100953,0.5710879520796865,0.9037758830694276,0.015132665755715539,0.029766919404661613,0.9239778581779204,1044820,1174300,96582,158,1484
0.49,0.975828740100953,0.5710879520796865,0.902557856272838,0.01607846115456804,0.03159409476096573,0.9286056687339492,986910,1180191,90691,160,1482
0.5,0.975828740100953,0.5710879520796865,0.8989037758830695,0.016983281363265025,0.03333672121150524,0.9327328993402089,937330,1185449,85433,166,1476
0.51,0.975828740100953,0.5710879520796865,0.8940316686967114,0.017921453249179008,0.035138531506193525,0.9366463815220774,891450,1190437,80445,174,1468
