threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9993934890118157,0.9024440136590255,1.0,0.00422516365432912,0.0084147735134498,0.6958941442361795,3869820,883900,386982,0,1642
0.02,0.9993934890118157,0.9024440136590255,1.0,0.007295864639938861,0.014486041084953308,0.8244300303962833,2234170,1047465,223417,0,1642
0.03,0.9993934890118157,0.9024440136590255,1.0,0.008460036375065047,0.016778129167071134,0.8487674888646501,1924470,1078435,192447,0,1642
0.04,0.9993934890118157,0.9024440136590255,1.0,0.009373644189710685,0.018573189905776694,0.8636332202771814,1735300,1097352,173530,0,1642
0.05,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.010142777674763582,0.020081746536785943,0.8741477567417196,1601990,1110733,160149,1,1641
0.060000000000000005,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.011068020099146798,0.02189357401588985,0.8847762399766134,1466740,1124258,146624,1,1641
0.06999999999999999,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.01188441483198146,0.023489500579722593,0.8927800182943504,1364890,1134443,136439,1,1641
0.08,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.012683665819027818,0.025049419558696696,0.8996176103554825,1277880,1143144,127738,1,1641
0.09,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.013624589020623693,0.026882689251838867,0.9066390889287747,1188530,1152079,118803,1,1641
0.09999999999999999,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.014502487782029642,0.028590095387429765,0.9123686468781729,1115620,1159370,111512,1,1641
0.11,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.015344048921428372,0.030224055843593733,0.9172455686493929,1053560,1165576,105306,1,1641
0.12,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.016168921382191524,0.03182298585321866,0.9215331105739459,999000,1171032,99850,1,1641
0.13,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.01700289080227534,0.03343691100809944,0.9254450210762233,949220,1176010,94872,1,1641
0.14,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.017919150887767805,0.035207037116498606,0.9293231404672918,899870,1180945,89937,1,1641
0.15000000000000002,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.018668941979522184,0.03665319068146791,0.9322134592353465,863090,1184623,86259,1,1641
0.16,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.01960760885150313,0.03846063702627323,0.9355202730950457,821010,1188831,82051,1,1641
0.17,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.020772151898734176,0.04069839537709878,0.9392074334157942,774090,1193523,77359,1,1641
0.18000000000000002,0.9993934890118157,0.9024440136590255,0.9993909866017052,0.021839524082034628,0.04274494992250687,0.9422415608664355,735480,1197384,73498,1,1641
0.19,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.022835182890321503,0.04464954193381522,0.94484897730809,702790,1200703,70179,2,1640
0.2,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.02385870988390701,0.04660414890593919,0.9472701497181979,671980,1203784,67098,2,1640
0.21000000000000002,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.024778654096032394,0.04835761042637259,0.9492756128764566,646460,1206336,64546,2,1640
0.22,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.025574251095482402,0.0498715200170293,0.9508936570155062,625870,1208395,62487,2,1640
0.23,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.02629637943751403,0.051243594550681164,0.9522775208954801,608260,1210156,60726,2,1640
0.24000000000000002,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.02701812191103789,0.052613005678354884,0.9535867299948764,591600,1211822,59060,2,1640
0.25,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.02777542552290626,0.054047819137541815,0.9548872948565214,575050,1213477,57405,2,1640
0.26,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.02863578425381083,0.05567531784156298,0.9562813746538376,557310,1215251,55631,2,1640
0.27,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.02955540737803889,0.057411912971941675,0.9576817411695182,539490,1217033,53849,2,1640
0.28,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.030461755637282217,0.05912040374909877,0.958979162671981,522980,1218684,52198,2,1640
0.29000000000000004,0.9993934890118157,0.9024440136590255,0.9987819732034104,0.03139356814701378,0.060873761181841804,0.9602349346652794,507000,1220282,50600,2,1640
