threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.99934554691693,0.8891605243120528,1.0,0.004676011094847275,0.009308495561174163,0.7253395613756597,3495120,921370,349512,0,1642
0.02,0.99934554691693,0.8891605243120528,1.0,0.007785274357430386,0.01545026416940716,0.8355480918238084,2092690,1061613,209269,0,1642
0.03,0.99934554691693,0.8891605243120528,1.0,0.011041698888433114,0.021842222532607033,0.8844288987869777,1470670,1123815,147067,0,1642
0.04,0.99934554691693,0.8891605243120528,1.0,0.014447739131199901,0.028483949589307243,0.9119788703395771,1120090,1158873,112009,0,1642
0.05,0.99934554691693,0.8891605243120528,1.0,0.01798742413951756,0.03533918732782369,0.9295541773671853,896440,1181238,89644,0,1642
0.060000000000000005,0.99934554691693,0.8891605243120528,1.0,0.020953231672302685,0.041046408439261564,0.9397080133655632,767230,1194159,76723,0,1642
0.06999999999999999,0.99934554691693,0.8891605243120528,1.0,0.022932000055863582,0.04483582497098778,0.9450218620631123,699610,1200921,69961,0,1642
0.08,0.99934554691693,0.8891605243120528,1.0,0.02424260320085041,0.047337619280998645,0.9480638479117093,660900,1204792,66090,0,1642
0.09,0.99934554691693,0.8891605243120528,1.0,0.02524522616155715,0.04924719572911043,0.9501777569617548,634000,1207482,63400,0,1642
0.09999999999999999,0.99934554691693,0.8891605243120528,1.0,0.026392773330761565,0.05142821348033074,0.9524001119035869,605720,1210310,60572,0,1642
0.11,0.99934554691693,0.8891605243120528,1.0,0.027506491330932237,0.053540277483411315,0.9543796423485923,580530,1212829,58053,0,1642
0.12,0.99934554691693,0.8891605243120528,1.0,0.028572920110672213,0.055558375205129504,0.9561304934130909,558250,1215057,55825,0,1642
0.13,0.99934554691693,0.8891605243120528,1.0,0.02968185104844541,0.05765247006776447,0.9578176914541494,536780,1217204,53678,0,1642
0.14,0.99934554691693,0.8891605243120528,0.9993909866017052,0.030654561757453486,0.05948453981948019,0.9592212013290122,519410,1218991,51891,1,1641
0.15000000000000002,0.99934554691693,0.8891605243120528,0.9993909866017052,0.03169850682841083,0.06144801632622494,0.9606066368885774,501780,1220754,50128,1,1641
0.16,0.99934554691693,0.8891605243120528,0.9993909866017052,0.03283510414790804,0.06358123946608807,0.9620148618022135,483860,1222546,48336,1,1641
0.17,0.99934554691693,0.8891605243120528,0.9993909866017052,0.03415690110942281,0.06605615376874308,0.9635346759668187,464520,1224480,46402,1,1641
0.18000000000000002,0.99934554691693,0.8891605243120528,0.9993909866017052,0.03563363154694693,0.06881368725625865,0.9650992829997705,444610,1226471,44411,1,1641
0.19,0.99934554691693,0.8891605243120528,0.9993909866017052,0.037186430691835304,0.07170479124336371,0.9666104529266246,425380,1228394,42488,1,1641
0.2,0.99934554691693,0.8891605243120528,0.9987819732034104,0.039157633350842845,0.07536072052201084,0.9683746632676477,403420,1230640,40242,2,1640
0.21000000000000002,0.99934554691693,0.8891605243120528,0.9981729598051157,0.041306484538420826,0.0793301226979018,0.9701042966576662,381900,1232842,38040,3,1639
0.22,0.99934554691693,0.8891605243120528,0.9981729598051157,0.043581152946181666,0.08351592356687898,0.9717317708742624,361190,1234913,35969,3,1639
0.23,0.99934554691693,0.8891605243120528,0.9981729598051157,0.0459193679432942,0.08779965180125887,0.9732366540827521,342040,1236828,34054,3,1639
0.24000000000000002,0.99934554691693,0.8891605243120528,0.9981729598051157,0.04856871925561548,0.09263027014807279,0.9747666841646995,322570,1238775,32107,3,1639
0.25,0.99934554691693,0.8891605243120528,0.9981729598051157,0.0513133590056667,0.09760890926957091,0.9761851249956779,304520,1240580,30302,3,1639
0.26,0.99934554691693,0.8891605243120528,0.997563946406821,0.05356442119032047,0.10166966668735647,0.9772530812778384,291420,1241940,28942,4,1638
0.27,0.99934554691693,0.8891605243120528,0.9969549330085262,0.055748535621849886,0.10559246597432755,0.9782070907896433,279770,1243155,27727,5,1637
0.28,0.99934554691693,0.8891605243120528,0.9969549330085262,0.057773072172225166,0.10921706641758681,0.9790157199392703,269480,1244184,26698,5,1637
0.29000000000000004,0.99934554691693,0.8891605243120528,0.9963459196102314,0.05971674697036063,0.11267993663475447,0.9797520518277062,260600,1245122,25760,6,1636
0.3,0.99934554691693,0.8891605243120528,0.9963459196102314,0.061712561297623536,0.1162262006251776,0.9804483058865687,251740,1246008,24874,6,1636
0.31,0.99934554691693,0.8891605243120528,0.9963459196102314,0.06365015756915535,0.1196562442859755,0.9810824786015824,243670,1246815,24067,6,1636
0.32,0.99934554691693,0.8891605243120528,0.9957369062119367,0.06547857428914698,0.12287689764016234,0.9816569274921337,236850,1247547,23335,7,1635
0.33,0.99934554691693,0.8891605243120528,0.9957369062119367,0.06743380351398169,0.12631334981458592,0.9822258755041162,229610,1248271,22611,7,1635
0.34,0.99934554691693,0.8891605243120528,0.9957369062119367,0.0694857628559286,0.12990624503416495,0.9827885367977343,222450,1248987,21895,7,1635
0.35000000000000003,0.99934554691693,0.8891605243120528,0.9957369062119367,0.0715316970731067,0.1334748357075799,0.9833174069801434,215720,1249660,21222,7,1635
0.36000000000000004,0.99934554691693,0.8891605243120528,0.9939098660170523,0.07371273712737128,0.13724665713564882,0.9838761390747837,210080,1250374,20508,10,1632
0.37,0.99934554691693,0.8891605243120528,0.9933008526187577,0.07593463382839052,0.14108386315470783,0.984394007500055,203980,1251034,19848,11,1631
0.38,0.99934554691693,0.8891605243120528,0.9933008526187577,0.07829676923815468,0.1451519601299337,0.9849032316875752,197500,1251682,19200,11,1631
0.39,0.99934554691693,0.8891605243120528,0.9933008526187577,0.08099518299647415,0.14977730841636439,0.985448604505691,190560,1252376,18506,11,1631
0.4,0.99934554691693,0.8891605243120528,0.9933008526187577,0.08376560012326023,0.154501965613603,0.9859719738095313,183900,1253042,17840,11,1631
0.41000000000000003,0.99934554691693,0.8891605243120528,0.9926918392204629,0.08663761029020942,0.15936644505279624,0.9864866988756205,177840,1253698,17184,12,1630
0.42000000000000004,0.99934554691693,0.8891605243120528,0.9914738124238733,0.08970191195107169,0.1645192259107675,0.9870061389804828,172210,1254361,16521,14,1628
0.43,0.99934554691693,0.8891605243120528,0.9914738124238733,0.092484235641652,0.16918680176669265,0.9874352075088564,166750,1254907,15975,14,1628
0.44,0.99934554691693,0.8891605243120528,0.9908647990255786,0.09581296743419115,0.17473017236750255,0.9879224281821011,161040,1255528,15354,15,1627
0.45,0.99934554691693,0.8891605243120528,0.9908647990255786,0.09902617163724893,0.18005754758742806,0.9883554259094524,155530,1256079,14803,15,1627
