threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9994717156840567,0.8973012266324369,1.0,0.004917227665844134,0.009786333700867181,0.738876437693906,3322860,938596,332286,0,1642
0.02,0.9994717156840567,0.8973012266324369,1.0,0.007957893920595533,0.01579013164853975,0.8391433088884768,2046940,1066188,204694,0,1642
0.03,0.9994717156840567,0.8973012266324369,1.0,0.011644729377056622,0.02302138100245356,0.8904806510525538,1393660,1131516,139366,0,1642
0.04,0.9994717156840567,0.8973012266324369,1.0,0.014536118980169972,0.02865569536308267,0.9125218856383063,1113180,1159564,111318,0,1642
0.05,0.9994717156840567,0.8973012266324369,1.0,0.01698755418533194,0.03340759503972493,0.9253318601456633,950170,1175865,95017,0,1642
0.060000000000000005,0.9994717156840567,0.8973012266324369,1.0,0.02011170447307824,0.03943039646519223,0.9371312446759353,800020,1190880,80002,0,1642
0.06999999999999999,0.9994717156840567,0.8973012266324369,1.0,0.022283139724242753,0.04359484932961635,0.9433833860893783,720460,1198836,72046,0,1642
0.08,0.9994717156840567,0.8973012266324369,1.0,0.02346652946893043,0.04585695534392716,0.9463035667696641,683300,1202552,68330,0,1642
0.09,0.9994717156840567,0.8973012266324369,1.0,0.024271629392026726,0.04739295455529419,0.9481275009351493,660090,1204873,66009,0,1642
0.09999999999999999,0.9994717156840567,0.8973012266324369,1.0,0.025242897552576558,0.04924276503223872,0.9501730419229815,634060,1207476,63406,0,1642
0.11,0.9994717156840567,0.8973012266324369,1.0,0.026282933700419373,0.05121966435835049,0.9521957935567423,608320,1210050,60832,0,1642
0.12,0.9994717156840567,0.8973012266324369,1.0,0.027491293865523708,0.0535114876975721,0.9543537096353389,580860,1212796,58086,0,1642
0.13,0.9994717156840567,0.8973012266324369,1.0,0.028662198017036726,0.05572713388766333,0.9562711587364954,556460,1215236,55646,0,1642
0.14,0.9994717156840567,0.8973012266324369,1.0,0.02965076384123659,0.05759382672746405,0.9577721127460072,537360,1217146,53736,0,1642
0.15000000000000002,0.9994717156840567,0.8973012266324369,1.0,0.03068011958146487,0.059533736992857404,0.9592322030861501,518780,1219004,51878,0,1642
0.16,0.9994717156840567,0.8973012266324369,1.0,0.0318618414669642,0.06175602234048555,0.9607920950803286,498930,1220989,49893,0,1642
0.17,0.9994717156840567,0.8973012266324369,1.0,0.033302235022106844,0.0644578786213394,0.9625437319846227,476640,1223218,47664,0,1642
0.18000000000000002,0.9994717156840567,0.8973012266324369,1.0,0.034984553105358474,0.06760401012825,0.9644069581398858,452930,1225589,45293,0,1642
0.19,0.9994717156840567,0.8973012266324369,1.0,0.036851673137778575,0.07108378969241759,0.9662756851737178,429150,1227967,42915,0,1642
0.2,0.9994717156840567,0.8973012266324369,1.0,0.039027404748888835,0.07512295550726296,0.9682277112258787,404310,1230451,40431,0,1642
0.21000000000000002,0.9994717156840567,0.8973012266324369,1.0,0.04147092993887963,0.07963915025705694,0.9701758080790618,379520,1232930,37952,0,1642
0.22,0.9994717156840567,0.8973012266324369,0.9993909866017052,0.04413425851218331,0.08453533896558829,0.9720696819863516,355910,1235341,35541,1,1641
0.23,0.9994717156840567,0.8973012266324369,0.9993909866017052,0.04673748967560024,0.08929883274834707,0.9736971562029478,335200,1237412,33470,1,1641
0.24000000000000002,0.9994717156840567,0.8973012266324369,0.9993909866017052,0.049393492460042744,0.09413451885845403,0.9751808217369574,316320,1239300,31582,1,1641
0.25,0.9994717156840567,0.8973012266324369,0.9993909866017052,0.05174697275479314,0.09839899262457276,0.9763682256680424,301210,1240811,30071,1,1641
0.26,0.9994717156840567,0.8973012266324369,0.9993909866017052,0.05397493668387988,0.1024184740209081,0.9773968899604251,288120,1242120,28762,1,1641
0.27,0.9994717156840567,0.8973012266324369,0.9993909866017052,0.055892370572207084,0.10586413779756144,0.9782165208671899,277690,1243163,27719,1,1641
0.28,0.9994717156840567,0.8973012266324369,0.9987819732034104,0.05741492788124913,0.10858769780838244,0.9788404776648614,270240,1243958,26924,2,1640
0.29000000000000004,0.9994717156840567,0.8973012266324369,0.9987819732034104,0.05886787034710506,0.11118267177383817,0.9793944947207283,263190,1244663,26219,2,1640
0.3,0.9994717156840567,0.8973012266324369,0.9981729598051157,0.06016224351209485,0.1134845075298598,0.9798770003551995,257540,1245278,25604,3,1639
0.31,0.9994717156840567,0.8973012266324369,0.9981729598051157,0.0615748741453152,0.11599433828733192,0.9803681502274221,251290,1245903,24979,3,1639
0.32,0.9994717156840567,0.8973012266324369,0.9969549330085262,0.06288414259373079,0.11830599118305991,0.9808255089884356,246450,1246487,24395,5,1637
0.33,0.9994717156840567,0.8973012266324369,0.9969549330085262,0.06439557845875457,0.12097697964009903,0.9813056571035202,240340,1247098,23784,5,1637
0.34,0.9994717156840567,0.8973012266324369,0.9963459196102314,0.0659066188615397,0.12363498960891744,0.9817740176216716,234870,1247695,23187,6,1636
0.35000000000000003,0.9994717156840567,0.8973012266324369,0.9963459196102314,0.06770682448371478,0.12679713233869405,0.9822926718867385,228270,1248355,22527,6,1636
0.36000000000000004,0.9994717156840567,0.8973012266324369,0.9963459196102314,0.06948691811077132,0.1299134439768125,0.9827791067201876,222080,1248974,21908,6,1636
0.37,0.9994717156840567,0.8973012266324369,0.9957369062119367,0.07121080139372822,0.13291602308755385,0.9832364654812011,216750,1249557,21325,7,1635
0.38,0.9994717156840567,0.8973012266324369,0.9957369062119367,0.07330852351701565,0.13656295677594488,0.9837527622268813,210180,1250214,20668,7,1635
0.39,0.9994717156840567,0.8973012266324369,0.9951278928136419,0.07521288837744534,0.1398553515641717,0.9842054059491215,204910,1250791,20091,8,1634
0.4,0.9994717156840567,0.8973012266324369,0.9945188794153471,0.07721040189125296,0.1432958932958933,0.9846556921519751,199670,1251365,19517,9,1633
0.41000000000000003,0.9994717156840567,0.8973012266324369,0.9939098660170523,0.079543792952186,0.1472990658423214,0.9851515570629709,193850,1251997,18885,10,1632
