threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9995049885857035,0.8948712288016256,1.0,0.0037249862184584185,0.007422324380889096,0.6548866661846849,4391650,831717,439165,0,1642
0.02,0.9995049885857035,0.8948712288016256,1.0,0.005145512718065387,0.01023834390734361,0.7505186542650669,3174710,953411,317471,0,1642
0.03,0.9995049885857035,0.8948712288016256,1.0,0.006450472392999548,0.012818260947630144,0.8012508997865659,2529130,1017969,252913,0,1642
0.04,0.9995049885857035,0.8948712288016256,1.0,0.00786466266249006,0.015606584800212903,0.837221144748547,2071400,1063742,207140,0,1642
0.05,0.9995049885857035,0.8948712288016256,1.0,0.00926464033221804,0.018359189378057302,0.8620136044585407,1755910,1095291,175591,0,1642
0.060000000000000005,0.9995049885857035,0.8948712288016256,1.0,0.010575467748687728,0.020929595237943494,0.8792769330873131,1536230,1117259,153623,0,1642
0.06999999999999999,0.9995049885857035,0.8948712288016256,1.0,0.01184738376287916,0.023417333390379214,0.8923760966394347,1369540,1133928,136954,0,1642
0.08,0.9995049885857035,0.8948712288016256,1.0,0.013049974567650051,0.02576373307391775,0.9024128425082749,1241820,1146700,124182,0,1642
0.09,0.9995049885857035,0.8948712288016256,1.0,0.014208454116730844,0.028018804337624884,0.9104747729708831,1139230,1156959,113923,0,1642
0.09999999999999999,0.9995049885857035,0.8948712288016256,1.0,0.015337337356037326,0.030211313603370715,0.9171591262718817,1054170,1165465,105417,0,1642
0.11,0.9995049885857035,0.8948712288016256,1.0,0.01643594286457864,0.03234034172041952,0.9227825958488799,982610,1172621,98261,0,1642
0.12,0.9995049885857035,0.8948712288016256,1.0,0.017462511964266722,0.03432561250940714,0.9273978329681798,923880,1178494,92388,0,1642
0.13,0.9995049885857035,0.8948712288016256,1.0,0.018489533482720956,0.03630775354066933,0.9315022742203684,871650,1183717,87165,0,1642
0.14,0.9995049885857035,0.8948712288016256,1.0,0.019482907960464646,0.03822115664389381,0.9350605568146455,826370,1188245,82637,0,1642
0.15000000000000002,0.9995049885857035,0.8948712288016256,1.0,0.020453922618899324,0.040087890625,0.9382047018366648,786360,1192246,78636,0,1642
0.16,0.9995049885857035,0.8948712288016256,1.0,0.021470788221141273,0.042038966691415554,0.9411924647393684,748340,1196048,74834,0,1642
0.17,0.9995049885857035,0.8948712288016256,1.0,0.02256083318448496,0.04412614379963183,0.9440961427839475,711390,1199743,71139,0,1642
0.18000000000000002,0.9995049885857035,0.8948712288016256,1.0,0.023700923787528867,0.046304390739121855,0.9468473679081888,676380,1203244,67638,0,1642
0.19,0.9995049885857035,0.8948712288016256,1.0,0.024822373393801965,0.04844229407599717,0.9493070464682788,645080,1206374,64508,0,1642
0.2,0.9995049885857035,0.8948712288016256,1.0,0.02602383669329276,0.05072754796255677,0.9517070012039066,614540,1209428,61454,0,1642
0.21000000000000002,0.9995049885857035,0.8948712288016256,1.0,0.027211560770276092,0.052981414558595764,0.9538712040008676,587000,1212182,58700,0,1642
0.22,0.9995049885857035,0.8948712288016256,1.0,0.028429454438423048,0.05528712604589303,0.9559025998723796,561150,1214767,56115,0,1642
0.23,0.9995049885857035,0.8948712288016256,1.0,0.02975284482133797,0.05778638043286996,0.9579214223071628,535460,1217336,53546,0,1642
0.24000000000000002,0.9995049885857035,0.8948712288016256,1.0,0.031099662866017654,0.06032329169728141,0.9597995794185414,511560,1219726,51156,0,1642
0.25,0.9995049885857035,0.8948712288016256,1.0,0.032521291344820756,0.06299393846389933,0.9616132976666845,488480,1222034,48848,0,1642
0.26,0.9995049885857035,0.8948712288016256,1.0,0.03391721060893993,0.06560914212650337,0.9632462727618497,467700,1224112,46770,0,1642
0.27,0.9995049885857035,0.8948712288016256,1.0,0.035249667253445534,0.06809887193098872,0.964684359587717,449400,1225942,44940,0,1642
0.28,0.9995049885857035,0.8948712288016256,1.0,0.03662399072132756,0.0706601256562527,0.9660580075503488,431920,1227690,43192,0,1642
0.29000000000000004,0.9995049885857035,0.8948712288016256,1.0,0.03797936808992922,0.07317942775648453,0.9673153512232382,415920,1229290,41592,0,1642
0.3,0.9995049885857035,0.8948712288016256,1.0,0.0393491336959908,0.07571879827534528,0.9684980401155499,400870,1230795,40087,0,1642
0.31,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.040654031958379785,0.07812983550360654,0.9695683539170971,387740,1232158,38724,1,1641
0.32,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.04193498926709598,0.08049247069210771,0.9705372943850175,375410,1233391,37491,1,1641
0.33,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.04321150200126395,0.08284113281841587,0.9714457251886801,363850,1234547,36335,1,1641
0.34,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.04463605701229464,0.08545539759412592,0.9723981630208939,351730,1235759,35123,1,1641
0.35000000000000003,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.04599215246636771,0.08793740957076256,0.9732500133592765,340890,1236843,34039,1,1641
0.36000000000000004,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.0474195226261342,0.09054292650629,0.9740940052997036,330150,1237917,32965,1,1641
0.37,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.048967534017665314,0.09336064174773852,0.9749537140360418,319210,1239011,31871,1,1641
0.38,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.05050163107035145,0.09614483243496602,0.9757536989479176,309030,1240029,30853,1,1641
0.39,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.05195504195029286,0.09877509254521925,0.976468027322078,299940,1240938,29944,1,1641
0.4,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.05342666449617451,0.1014309113947523,0.9771517079442117,291240,1241808,29074,1,1641
0.41000000000000003,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.054991454709962806,0.10424673633389449,0.9778385319255275,282500,1242682,28200,1,1641
0.42000000000000004,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.05646354471320923,0.10688812896922326,0.9784499152864701,274720,1243460,27422,1,1641
0.43,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.05794491525423729,0.10953874908217075,0.979033794254568,267290,1244203,26679,1,1641
0.44,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.05958172972187931,0.11245888157894737,0.9796451776155106,259510,1244981,25901,1,1641
0.45,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.06119480906921241,0.11532785157073581,0.9802156973070842,252250,1245707,25175,1,1641
0.46,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.06292660480098167,0.11839826839826839,0.9807956470762045,244870,1246445,24437,1,1641
0.47000000000000003,0.9995049885857035,0.8948712288016256,0.9993909866017052,0.06478228257865856,0.1216772327883439,0.9813826694034847,237400,1247192,23690,1,1641
