threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9997795219513418,0.9595569332130311,0.9993909866017052,0.0198916324229972,0.03900688146994854,0.9364593516507351,809060,1190026,80856,1,1641
0.02,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.025789813023855575,0.050281299342357394,0.9513148671459242,620510,1208931,61951,2,1640
0.03,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.030931140491503365,0.06000402466019062,0.9596211937849503,514810,1219501,51381,2,1640
0.04,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.03558023994966698,0.06871268461296742,0.9650654918885616,445530,1226429,44453,2,1640
0.05,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.03994544037412315,0.07681858635064874,0.9690237669387768,395160,1231466,39416,2,1640
0.060000000000000005,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.044054046793993606,0.084386014561733,0.9720327475159604,356870,1235295,35587,2,1640
0.06999999999999999,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.04801920768307323,0.09163290962424919,0.9744484190474993,326130,1238369,32513,2,1640
0.08,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.05211809196936473,0.09906671901899786,0.9765591847383625,299270,1241055,29827,2,1640
0.09,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.056049213943950786,0.10614199728172934,0.9782935331671544,277200,1243262,27620,2,1640
0.09999999999999999,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.05988461257576864,0.11299435028248588,0.9797661969440262,258460,1245136,25746,2,1640
0.11,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.06359053896859247,0.11956838728492272,0.9810203972577335,242500,1246732,24150,2,1640
0.12,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.06709761885279437,0.12574758472626898,0.9820797093021428,229020,1248080,22802,2,1640
0.13,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.07053156717701703,0.13175865670442677,0.9830148586588544,217120,1249270,21612,2,1640
0.14,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.07372774680812803,0.13731893159172737,0.9838069851727748,207040,1250278,20604,2,1640
0.15000000000000002,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.07729286454896786,0.14348206474190725,0.9846132568030151,196780,1251304,19578,2,1640
0.16,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.08060552442740587,0.1491722757867928,0.9852985091047398,188060,1252176,18706,2,1640
0.17,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.08394758394758395,0.15487770327698555,0.9859350393391402,179960,1252986,17896,2,1640
0.18000000000000002,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.08728046833422033,0.16053249804228661,0.9865212758266249,172500,1253732,17150,2,1640
0.19,0.9997795219513418,0.9595569332130311,0.9987819732034104,0.09061274103541632,0.16615166404944026,0.987064291125354,165590,1254423,16459,2,1640
0.2,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.09404946347621507,0.17190203996014475,0.9875908037883765,159380,1255094,15788,3,1639
0.21000000000000002,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.09707990286086596,0.17695006747638325,0.9880183006371589,153940,1255638,15244,3,1639
0.22,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.10060769750168805,0.1827915017007751,0.988483517796128,148020,1256230,14652,3,1639
0.23,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.10406349206349207,0.18847746090156395,0.9889086571255238,142610,1256771,14111,3,1639
0.24000000000000002,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.10741201913624746,0.1939530205313295,0.9892945044651417,137700,1257262,13620,3,1639
0.25,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.11077318194106515,0.19941598734639251,0.9896583482904842,133070,1257725,13157,3,1639
0.26,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.11433554237879316,0.20516993177692933,0.9900206204362354,128460,1258186,12696,3,1639
0.27,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.11799856011519079,0.21104815864022664,0.9903703191452577,124010,1258631,12251,3,1639
0.28,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.1213894237890683,0.2164553618594823,0.9906752249859335,120130,1259019,11863,3,1639
0.29000000000000004,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.12462930575621625,0.2215912931792064,0.9909510547541736,116620,1259370,11512,3,1639
0.3,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.12820713391739674,0.2272286150006932,0.9912394579591426,112950,1259737,11145,3,1639
0.31,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.13158317276814388,0.23251525039012627,0.991497213412085,109670,1260065,10817,3,1639
0.32,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.13500823723228994,0.2378464664054564,0.9917455387874806,106510,1260381,10501,3,1639
0.33,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.13821892393320964,0.24281481481481482,0.9919671456098273,103690,1260663,10219,3,1639
0.34,0.9997795219513418,0.9595569332130311,0.9981729598051157,0.14165946413137426,0.2481077808053285,0.9921934674709475,100810,1260951,9931,3,1639
0.35000000000000003,0.9997795219513418,0.9595569332130311,0.997563946406821,0.1450199203187251,0.2532271778619464,0.9924080017351342,98570,1261225,9657,4,1638
0.36000000000000004,0.9997795219513418,0.9595569332130311,0.997563946406821,0.1481950601646612,0.2580543521071288,0.9925981749656588,96150,1261467,9415,4,1638
0.37,0.9997795219513418,0.9595569332130311,0.997563946406821,0.15204678362573099,0.2638743455497382,0.9928182101084144,93350,1261747,9135,4,1638
0.38,0.9997795219513418,0.9595569332130311,0.997563946406821,0.15534901365705614,0.2688330871491876,0.9929981674215967,91060,1261976,8906,4,1638
0.39,0.9997795219513418,0.9595569332130311,0.997563946406821,0.1587363116581064,0.27389014296463504,0.9931749813755969,88810,1262201,8681,4,1638
0.4,0.9997795219513418,0.9595569332130311,0.997563946406821,0.16211401425178149,0.2789034564958284,0.9933439369316414,86660,1262416,8466,4,1638
0.41000000000000003,0.9997795219513418,0.9595569332130311,0.997563946406821,0.16570561456752655,0.28420230762557475,0.9935160358468681,84470,1262635,8247,4,1638
0.42000000000000004,0.9997795219513418,0.9595569332130311,0.997563946406821,0.16890080428954424,0.28888888888888886,0.993662987888637,82600,1262822,8060,4,1638
0.43,0.9997795219513418,0.9595569332130311,0.997563946406821,0.1731135066582118,0.295028818443804,0.9938484460803882,80240,1263058,7824,4,1638
0.44,0.9997795219513418,0.9595569332130311,0.997563946406821,0.1770810810810811,0.30077120822622105,0.9940150441170461,78120,1263270,7612,4,1638
