threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9999119028964589,0.9612474097908467,1.0,0.06045432789661647,0.11401590112141097,0.9799461542572085,255190,1245363,25519,0,1642
0.02,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.0828118691966088,0.15294994873706777,0.9857165758759756,182250,1252707,18175,1,1641
0.03,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.09844621752954587,0.17923652449347388,0.9881896137125901,150780,1255854,15028,1,1641
0.04,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.11144312393887945,0.20052544754689314,0.9897172862751508,131340,1257798,13084,1,1641
0.05,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.12231663685152057,0.21795723203612696,0.9907459505675335,118250,1259107,11775,1,1641
0.060000000000000005,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.13228536880290206,0.23364419448992668,0.9915404346008405,108140,1260118,10764,1,1641
0.06999999999999999,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.14056878533493233,0.2464704115349955,0.9921148834913919,100830,1260849,10033,1,1641
0.08,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.14864130434782608,0.2587919886453241,0.9926131059217743,94490,1261483,9399,1,1641
0.09,0.9999119028964589,0.9612474097908467,0.9993909866017052,0.1559144893111639,0.26974603435522315,0.9930178134164857,89340,1261998,8884,1,1641
0.09999999999999999,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.1629246969998013,0.2801503245644004,0.9933769422030547,85260,1262456,8426,2,1640
0.11,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.16928158546655656,0.28949691085613416,0.9936739896457748,81480,1262834,8048,2,1640
0.12,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.17528858486532706,0.298236042916894,0.9939348884578995,78160,1263166,7716,2,1640
0.13,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.18129560026531064,0.3068862275449102,0.9941784987945218,75060,1263476,7406,2,1640
0.14,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.18683071314650262,0.31477927063339733,0.9943891038597308,72380,1263744,7138,2,1640
0.15000000000000002,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.19248826291079812,0.3227711080495965,0.9945918505269842,69800,1264002,6880,2,1640
0.16,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.19773330118157703,0.33011272141706927,0.9947694503207798,67540,1264228,6654,2,1640
0.17,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.20249413507840475,0.3367210758649009,0.9949226890809132,65590,1264423,6459,2,1640
0.18000000000000002,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.20714917266641406,0.3431321267915054,0.9950657119237044,63770,1264605,6277,2,1640
0.19,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.21185893295439864,0.34956836832569543,0.9952040197277222,62010,1264781,6101,2,1640
0.2,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.21667327255912275,0.3560959722071436,0.9953391841725578,60290,1264953,5929,2,1640
0.21000000000000002,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.2212329691083232,0.36223081170623966,0.9954617751806646,58730,1265109,5773,2,1640
0.22,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.2256156280093548,0.3680843900796768,0.9955749361112246,57290,1265253,5629,2,1640
0.23,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.2304665542439573,0.37451472939027175,0.9956951695999446,55760,1265406,5476,2,1640
0.24000000000000002,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.23448670288818987,0.3798054654932839,0.9957910420550025,54540,1265528,5354,2,1640
0.25,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.23952095808383234,0.3863823771940158,0.9959065605049492,53070,1265675,5207,2,1640
0.26,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.24404761904761904,0.3922506577373834,0.9960063621589849,51800,1265802,5080,2,1640
0.27,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.2478839177750907,0.3971906030515863,0.9960880894977227,50760,1265906,4976,2,1640
0.28,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.25134099616858235,0.4016162605607934,0.9961596009191183,49850,1265997,4885,2,1640
0.29000000000000004,0.9999119028964589,0.9612474097908467,0.9987819732034104,0.25581032600218373,0.4073016267229604,0.9962491866558116,48710,1266111,4771,2,1640
0.3,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.25970527650134684,0.41217150760719223,0.9963261989557761,48220,1266210,4672,3,1639
0.31,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.2643122077084341,0.4179523141654979,0.9964126413332872,47120,1266320,4562,3,1639
0.32,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.26873257911132975,0.4234595013564139,0.996492796992434,46100,1266422,4460,3,1639
0.33,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.27408026755852843,0.4300708475465757,0.9965863119281051,44910,1266541,4341,3,1639
0.34,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.27784370232242755,0.434690359368784,0.9966499649515451,44100,1266622,4260,3,1639
0.35000000000000003,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.28166351606805295,0.43935129339230666,0.9967128321351896,43300,1266702,4180,3,1639
0.36000000000000004,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.28504347826086956,0.44345238095238093,0.996767055081083,42610,1266771,4111,3,1639
0.37,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.28926932580303566,0.44854953475643133,0.9968330656239096,41770,1266855,4027,3,1639
0.38,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.29372759856630826,0.4538908889504292,0.9969006478463275,40910,1266941,3941,3,1639
0.39,0.9999119028964589,0.9612474097908467,0.9981729598051157,0.297513160283173,0.45839742693329605,0.9969564424718119,40200,1267012,3870,3,1639
0.4,0.9999119028964589,0.9612474097908467,0.997563946406821,0.30132450331125826,0.4628426109070359,0.9970122370972964,39980,1267084,3798,4,1638
0.41000000000000003,0.9999119028964589,0.9612474097908467,0.997563946406821,0.3045175683212493,0.4666001994017946,0.997057029965643,39410,1267141,3741,4,1638
0.42000000000000004,0.9999119028964589,0.9612474097908467,0.997563946406821,0.3084164940689136,0.4711635265353085,0.9971104670717409,38730,1267209,3673,4,1638
0.43,0.9999119028964589,0.9612474097908467,0.997563946406821,0.3127147766323024,0.4761627906976744,0.9971678333768165,38000,1267282,3600,4,1638
0.44,0.9999119028964589,0.9612474097908467,0.997563946406821,0.3171959721146398,0.4813399941228328,0.9972259855216876,37260,1267356,3526,4,1638
0.45,0.9999119028964589,0.9612474097908467,0.997563946406821,0.3207990599294947,0.4854771784232365,0.9972715642298299,36680,1267414,3468,4,1638
0.46,0.9999119028964589,0.9612474097908467,0.997563946406821,0.3245492371705964,0.4897593063238152,0.9973179287777677,36090,1267473,3409,4,1638
0.47000000000000003,0.9999119028964589,0.9612474097908467,0.997563946406821,0.32858575727181544,0.49434133091896787,0.9973666508450921,35470,1267535,3347,4,1638
0.48000000000000004,0.9999119028964589,0.9612474097908467,0.9969549330085262,0.33279121772718034,0.4990092973632068,0.9974169445920077,35320,1267600,3282,5,1637
0.49,0.9999119028964589,0.9612474097908467,0.9969549330085262,0.33808343659644774,0.5049352251696484,0.9974774542562655,34550,1267677,3205,5,1637
0.5,0.9999119028964589,0.9612474097908467,0.9969549330085262,0.34254028039338774,0.5098894253231584,0.9975269621633855,33920,1267740,3142,5,1637
0.51,0.9999119028964589,0.9612474097908467,0.9969549330085262,0.3471162001696353,0.5149418055992451,0.9975764700705055,33290,1267803,3079,5,1637
0.52,0.9999119028964589,0.9612474097908467,0.9957369062119367,0.3509336767546684,0.518965243612125,0.9976181195796701,33740,1267858,3024,7,1635
0.53,0.9999119028964589,0.9612474097908467,0.9957369062119367,0.35520312839452534,0.5236188951160928,0.9976621266082212,33180,1267914,2968,7,1635
0.54,0.9999119028964589,0.9612474097908467,0.9957369062119367,0.3596568411790585,0.5284421460892049,0.9977069194765679,32610,1267971,2911,7,1635
0.55,0.9999119028964589,0.9612474097908467,0.9957369062119367,0.3655264922870557,0.5347506132461161,0.9977642857816434,31880,1268044,2838,7,1635
0.56,0.9999119028964589,0.9612474097908467,0.9951278928136419,0.3712792547148375,0.5407909978487506,0.9978192945673323,31670,1268115,2767,8,1634
0.5700000000000001,0.9999119028964589,0.9612474097908467,0.9951278928136419,0.3751147842056933,0.5448482827609203,0.9978546573581324,31220,1268160,2722,8,1634
0.5800000000000001,0.9999119028964589,0.9612474097908467,0.9945188794153471,0.3795026725540321,0.5493692178301094,0.9978947351877057,31200,1268212,2670,9,1633
0.59,0.9999119028964589,0.9612474097908467,0.9939098660170523,0.38472418670438474,0.5547246770904147,0.9979410997356435,31100,1268272,2610,10,1632
0.6,0.9999119028964589,0.9612474097908467,0.9933008526187577,0.38972520908004776,0.5598077913162862,0.997984320924399,31040,1268328,2554,11,1631
0.61,0.9999119028964589,0.9612474097908467,0.9933008526187577,0.39434235976789167,0.5645552094150225,0.9980228270743813,30550,1268377,2505,11,1631
0.62,0.9999119028964589,0.9612474097908467,0.9933008526187577,0.3986800293326815,0.568986568986569,0.9980581898651814,30100,1268422,2460,11,1631
0.63,0.9999119028964589,0.9612474097908467,0.9933008526187577,0.40341330695028443,0.5737906772207564,0.998095910175368,29620,1268470,2412,11,1631
0.64,0.9999119028964589,0.9612474097908467,0.9933008526187577,0.40959316926167755,0.5800142247510669,0.9981438464028969,29010,1268531,2351,11,1631
0.65,0.9999119028964589,0.9612474097908467,0.9926918392204629,0.41581632653061223,0.5861201006832075,0.9981909967906303,28900,1268592,2290,12,1630
0.66,0.9999119028964589,0.9612474097908467,0.9920828258221681,0.421583850931677,0.5917181256810752,0.9982334321395903,28850,1268647,2235,13,1629
0.67,0.9999119028964589,0.9612474097908467,0.9920828258221681,0.4268867924528302,0.5969219494320264,0.9982711524497769,28370,1268695,2187,13,1629
0.68,0.9999119028964589,0.9612474097908467,0.9914738124238733,0.4327485380116959,0.6025166543301258,0.9983120161191459,28340,1268748,2134,14,1628
0.6900000000000001,0.9999119028964589,0.9612474097908467,0.9908647990255786,0.4393734809613827,0.6087932647333957,0.9983568089874926,28260,1268806,2076,15,1627
0.7000000000000001,0.9999119028964589,0.9612474097908467,0.9902557856272838,0.44633543782596763,0.6153263954588458,0.9984023876956348,28170,1268865,2017,16,1626
0.7100000000000001,0.9999119028964589,0.9612474097908467,0.9902557856272838,0.45166666666666666,0.6203739030904235,0.9984361788068438,27740,1268908,1974,16,1626
0.72,0.9999119028964589,0.9612474097908467,0.9902557856272838,0.45815722738799664,0.6264688884607975,0.998476256636417,27230,1268959,1923,16,1626
0.73,0.9999119028964589,0.9612474097908467,0.9890377588306942,0.46373500856653344,0.6314152410575428,0.998510047747626,27780,1269004,1878,18,1624
0.74,0.9999119028964589,0.9612474097908467,0.9878197320341048,0.4702812409394027,0.6372029070909448,0.9985485538976082,28270,1269055,1827,20,1622
0.75,0.9999119028964589,0.9612474097908467,0.9878197320341048,0.47818396226415094,0.6444179578863727,0.9985933467659549,27700,1269112,1770,20,1622
0.76,0.9999119028964589,0.9612474097908467,0.98721071863581,0.4856201318154584,0.6510040160642571,0.9986342104353239,27670,1269165,1717,21,1621
0.77,0.9999119028964589,0.9612474097908467,0.9866017052375152,0.4952613879547539,0.6594748626094036,0.998685290022035,27510,1269231,1651,22,1620
0.78,0.9999119028964589,0.9612474097908467,0.9866017052375152,0.5031055900621118,0.6663924310983135,0.9987253678516083,27000,1269282,1600,22,1620
0.79,0.9999119028964589,0.9612474097908467,0.9859926918392204,0.510564490696941,0.6727612715562019,0.9987623023219995,27020,1269330,1552,23,1619
0.8,0.9999119028964589,0.9612474097908467,0.9847746650426309,0.5206052801030264,0.681128896377422,0.9988102385495283,27390,1269393,1489,25,1617
0.81,0.9999119028964589,0.9612474097908467,0.9823386114494519,0.530417625780993,0.6888746530002136,0.998855031417875,28780,1269454,1428,29,1613
0.8200000000000001,0.9999119028964589,0.9612474097908467,0.9817295980511571,0.5407581348540759,0.6973826519576033,0.9989006101260173,28690,1269513,1369,30,1612
0.8300000000000001,0.9999119028964589,0.9612474097908467,0.9792935444579781,0.5525773195876289,0.7065026362038664,0.9989501180331373,30020,1269580,1302,34,1608
0.8400000000000001,0.9999119028964589,0.9612474097908467,0.9774665042630938,0.5637513171759747,0.7150813098685677,0.998994910901484,30920,1269640,1242,37,1605
0.85,0.9999119028964589,0.9612474097908467,0.9756394640682094,0.5754310344827587,0.7239042024401265,0.9990397037698306,31820,1269700,1182,40,1602
0.86,0.9999119028964589,0.9612474097908467,0.97442143727162,0.5878030859662013,0.7332722273143905,0.9990852824779729,32220,1269760,1122,42,1600
0.87,0.9999119028964589,0.9612474097908467,0.9732034104750305,0.6014301844185171,0.7434287043498488,0.9991332187055019,32590,1269823,1059,44,1598
