threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9998103564167865,0.9586103384799246,0.9993909866017052,0.024441465594280606,0.047715972202029604,0.9485274933910873,655490,1205383,65499,1,1641
0.02,0.9998103564167865,0.9586103384799246,0.9993909866017052,0.03350347080440996,0.06483347161313263,0.9627983440783828,473890,1223543,47339,1,1641
0.03,0.9998103564167865,0.9586103384799246,0.9993909866017052,0.040923713808324394,0.07862772813301071,0.9697773873027149,385080,1232424,38458,1,1641
0.04,0.9998103564167865,0.9586103384799246,0.9993909866017052,0.04762734000870701,0.0909216832423747,0.9742126671088325,328640,1238068,32814,1,1641
0.05,0.9998103564167865,0.9586103384799246,0.9993909866017052,0.0537468885104153,0.10200783241126375,0.9772955166267984,289410,1241991,28891,1,1641
0.060000000000000005,0.9998103564167865,0.9586103384799246,0.9993909866017052,0.05954281567489115,0.11238956235874255,0.9796310324991906,259690,1244963,25919,1,1641
0.06999999999999999,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.06482873190412151,0.12175011142475115,0.9814180321942847,237930,1247239,23643,3,1639
0.08,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.0698993517570795,0.13064966121960941,0.9828592623793343,219590,1249073,21809,3,1639
0.09,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.07467650811007837,0.13895718524798645,0.9840380220726682,204590,1250573,20309,3,1639
0.09999999999999999,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.07938583745035357,0.14707465900933236,0.985061185486482,191570,1251875,19007,3,1639
0.11,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.08393076607947562,0.15484175720358997,0.9859397543779135,180390,1252993,17889,3,1639
0.12,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.08847503373819163,0.16254276788813407,0.9867279516928561,170360,1253996,16886,3,1639
0.13,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.0928927680798005,0.16996785232811365,0.9874202765527409,161550,1254877,16005,3,1639
0.14,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.09746090265802462,0.17758275096159054,0.9880701660636656,153280,1255704,15178,3,1639
0.15000000000000002,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.101712796326176,0.1846136517233611,0.9886226114399415,146250,1256407,14475,3,1639
0.16,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.10596069304370313,0.19158386908240796,0.9891302639478705,139790,1257053,13829,3,1639
0.17,0.9998103564167865,0.9586103384799246,0.9981729598051157,0.1103257942918686,0.19869075039398715,0.9896111979027508,133670,1257665,13217,3,1639
